"entrezid","geneid","genbank","logFC","unshrunk.logFC","logCPM","PValue","FDR"
"XP_015150713.1",417311,"TMEM220","XP_015150713.1",4.4399662331697,144269482.608078,-0.708230832986857,0.000935092659608902,0.305214799765847
"XP_004939445.2",420640,"ANKRD28","XP_004939445.2",-4.49842627057658,-144269482.670759,0.796120150333275,0.000949604245720955,0.305214799765847
"XP_015155839.1",431025,"SMUG1","XP_015155839.1",-0.742753493284911,-0.744147893891828,4.43920259892027,0.00097171317194262,0.305214799765847
"XP_015139586.1",421689,"MAP7","XP_015139586.1",1.14212480871451,1.15664806238235,6.42065627957835,0.000979637209616727,0.305214799765847
"XP_015136666.1",107052490,"LOC107052490","XP_015136666.1",-0.921505531627855,-0.924092262373961,3.1488865903808,0.000990874434188807,0.305214799765847
"XP_004938990.1",428098,"KCTD21","XP_004938990.1",0.757781363619298,0.759762640526575,5.44758568877608,0.00100841151862962,0.305214799765847
"XP_015148169.1",107054333,"SPATA2L","XP_015148169.1",-0.81676116828637,-0.818514622753892,3.28217903015966,0.00102167369540687,0.305214799765847
"NP_989646.1",374209,"RP11-290H9.2","NP_989646.1",-1.91587730217544,-1.93437311570845,4.7461732438661,0.00109345684723425,0.316111356203579
"XP_015146738.1",107054051,"LOC107054051","XP_015146738.1",1.12708944357803,1.13728536498849,5.77353727823302,0.00110047469522569,0.316111356203579
"XP_015151595.1",107054804,"TUSC5","XP_015151595.1",1.42114405633408,1.4375649812919,3.67146605798928,0.00139518605024897,0.393205547784319
"XP_015148161.1",101749604,"TMCO7","XP_015148161.1",-0.588295580197835,-0.588459855354405,5.04126289708191,0.00145828957089395,0.40337909852672
"NP_001006552.1",424970,"TTC14","NP_001006552.1",-0.907259124518735,-0.909111633805008,4.49291690757166,0.00160291103311541,0.435321492757181
"NP_001012911.1",422936,"MAVS","NP_001012911.1",0.959370967452956,0.966186220221443,2.1709050023827,0.00166204610430573,0.443321118928834
"XP_015127966.1",107057643,"SLC8A2","XP_015127966.1",-0.960108075068296,-0.964134407586699,4.63916959682749,0.00192027797787861,0.50321389746619
"XP_015138110.1",421104,"DTNA","XP_015138110.1",1.3454906587205,1.35855120382567,1.68939044248414,0.00201751242396581,0.509269538290248
"NP_990789.1",396444,"SNAP25","NP_990789.1",1.13076447138592,1.13937936990308,8.72846635765036,0.00202760623407738,0.509269538290248
"XP_015154447.1",419934,"ATP2B4","XP_015154447.1",1.35114372042678,1.35114439097675,15.7148510869479,0.0020702951760045,0.509269538290248
"XP_417049.3",418854,"KIAA0226L","XP_417049.3",0.826671550168726,0.82737452066423,4.56390789105024,0.00209331864411975,0.509269538290248
"XP_415767.2",417519,"TMEM120A","XP_415767.2",-0.724205650186831,-0.724371940529614,5.0192114698208,0.00211385896592324,0.509269538290248
"NP_990010.1",395405,"TWIST2","NP_990010.1",1.43686729050914,1.45668513856683,1.64288550444233,0.00219111324079146,0.515285629751048
"NP_990728.1",396362,"IAPP","NP_990728.1",-3.03275283964873,-3.0855815513019,2.5916583043001,0.00220782488478724,0.515285629751048
"XP_425385.3",427813,"BTBD17","XP_425385.3",-2.85647715450621,-3.3489983982203,2.85790481393921,0.00228616051486955,0.525359686317023
"XP_015150334.1",417018,"NIPSNAP1","XP_015150334.1",-2.13629956277736,-2.21001268787289,1.05837088945489,0.00238903191094677,0.54068135839109
"XP_015132201.1",417071,"SBF1","XP_015132201.1",-3.96185381429111,-144269482.106121,-0.0142023656978116,0.00243406067070616,0.542650212512507
"XP_015135649.1",431602,"PTPRD","XP_015135649.1",-1.84136032981564,-1.84774868479416,4.08993671825996,0.00247216604006103,0.54304035500576
"XP_015129840.1",107050646,"LOC107050646","XP_015129840.1",-1.37660754781446,-1.39754949266688,1.73776152327656,0.00253419262767716,0.544671095434668
"XP_015135197.1",417227,"FPGS","XP_015135197.1",-0.831537165040993,-0.833840840313828,2.6400206987551,0.00255251902526791,0.544671095434668
"XP_004947428.1",419386,"ARHGEF16","XP_004947428.1",-2.44009001140512,-2.69541608988971,-0.132526085523644,0.00265959642998448,0.559526646122228
"XP_426572.2",431682,"CYP20A1","XP_426572.2",0.592203768675461,0.592389922088384,5.03884940094866,0.00275317664983867,0.571169439147781
"XP_004944335.1",772040,"KIAA0513","XP_004944335.1",-1.04589392375414,-1.05031255304048,5.15688763265461,0.00280790651098574,0.572810218234537
"XP_425184.4",427612,"DOCK2","XP_425184.4",1.1174292207225,1.11821606363375,2.95520206955635,0.00283778242949426,0.572810218234537
"XP_015136417.1",107052461,"TIMM10B","XP_015136417.1",-5.80863704211071,-144269484.020006,-0.39126366961979,0.00295953063402168,0.588592187604744
"XP_004943908.1",415496,"AEN","XP_004943908.1",-1.53795148004868,-1.55844472329339,1.47363036976493,0.00301696337966751,0.588592187604744
