"entrezid","geneid","genbank","logFC","unshrunk.logFC","logCPM","PValue","FDR"
"NP_989726.1",378912,"RGS2","NP_989726.1",-1.80946236559421,-1.80962674501316,6.78820835296295,4.51520710852911e-13,6.74436485800993e-09
"XP_015143726.1",107053650,"DDIT4","XP_015143726.1",-1.48523734231712,-1.4861822005496,4.95301925131749,1.61849268311734e-12,1.20877126038618e-08
"NP_001038131.1",429929,"GADD45B","NP_001038131.1",-1.63481596802752,-1.63531938349733,5.2515628856712,6.28045503556968e-11,2.19038537997104e-07
"XP_015152029.1",419316,"APCDD1L","XP_015152029.1",-2.78655611664644,-2.81107773249352,3.90662884277025,6.40312381979558e-11,2.19038537997104e-07
"NP_001035558.1",429116,"PTGER3","NP_001035558.1",-1.98890218083707,-1.98910472337576,6.89470339810832,7.3320793331025e-11,2.19038537997104e-07
"XP_015133687.1",396214,"PLP1","XP_015133687.1",-8.93062859831181,-8.95668445656566,10.298771384774,1.41305726787842e-10,3.51780606838332e-07
"NP_989957.1",395335,"CISH","NP_989957.1",-1.63917786236191,-1.63937633910336,6.6262303788958,1.8502657516612e-10,3.72209061755896e-07
"NP_001264923.1",417431,"APOH","NP_001264923.1",-5.6735469615486,-5.71597653012833,6.54696999230208,1.99348764413682e-10,3.72209061755896e-07
"XP_001234376.2",771074,"TTPA","XP_001234376.2",-1.63628366623141,-1.63697363646765,5.02072890838071,3.24037257303873e-10,5.37793834705329e-07
"NP_996726.1",395399,"CITED2","NP_996726.1",-1.38174582930716,-1.38334527687957,4.5477911552711,4.97619912132986e-10,7.43294862753042e-07
"XP_001231917.1",769726,"LOC769726","XP_001231917.1",-5.63937301529729,-5.65049995337999,8.26773203018633,8.83510855574083e-10,1.15231327432635e-06
"NP_990136.1",395592,"TH","NP_990136.1",6.15460067820341,6.20158686913083,3.10180328520907,9.87659471578803e-10,1.15231327432635e-06
"XP_015142329.1",418151,"NINJ2","XP_015142329.1",-5.13229588535312,-5.16354385275406,5.91958831472991,1.0028836156017e-09,1.15231327432635e-06
"XP_015153698.1",419759,"ZBTB16","XP_015153698.1",-1.65991985691742,-1.66031703768535,5.38648413596562,1.16873356375901e-09,1.24582058906244e-06
"NP_989517.1",374006,"SAT1","NP_989517.1",-1.42989533325784,-1.42994935326481,8.01346915095977,1.27632518029936e-09,1.24582058906244e-06
"XP_015138136.1",107052707,"CEBPD","XP_015138136.1",-1.63167045403352,-1.63199182978223,5.67452611622515,1.33448011146811e-09,1.24582058906244e-06
"XP_418836.3",420738,"ANLN","XP_418836.3",-4.88874660308564,-4.91901727475246,6.55535129866051,1.95126223626008e-09,1.71447082488335e-06
"XP_015133623.1",421297,"ALK","XP_015133623.1",3.65729004575617,3.75618728015501,1.90406515865411,2.58011384290412e-09,2.1410644706366e-06
"NP_001005848.1",395128,"HES4","NP_001005848.1",1.43850910915579,1.44120324642823,3.38348516856597,4.67873969100562e-09,3.67822814550268e-06
"XP_004948022.1",395925,"KCNJ5","XP_004948022.1",-1.73752234555609,-1.74064060086836,3.39236677720815,5.47476113347375e-09,4.08882535253487e-06
"NP_001025732.1",415650,"PLLP","NP_001025732.1",-4.55419689052637,-4.56789534502745,6.49906595522086,7.53392610731647e-09,5.35877401261838e-06
"NP_001116120.1",395939,"DIO3","NP_001116120.1",4.16775226270818,4.22113527862812,2.88306259893119,8.20151344772457e-09,5.56845483493918e-06
"XP_015129737.1",107050516,"LOC107050516","XP_015129737.1",-3.62089163484461,-3.62705152514678,6.567734550287,1.21377717258271e-08,7.88269114211646e-06
"XP_015134713.1",415687,"FA2H","XP_015134713.1",-4.67881073443388,-4.78398636391825,3.87550407279434,2.12961909932669e-08,1.32542168694345e-05
"NP_001034686.1",419771,"IL10RA","NP_001034686.1",1.6372799578145,1.66142615443424,-0.121988049703769,2.73448820564439e-08,1.63380201310841e-05
"XP_015128838.1",107049625,"LGI3","XP_015128838.1",-4.34878396969765,-4.43357144954945,5.10163054551617,2.90175689698473e-08,1.66705933731772e-05
"NP_990381.1",395921,"CNP","NP_990381.1",-3.14560223836037,-3.14641863898962,9.14783105177534,3.1081323045138e-08,1.69442567976205e-05
"XP_001235051.1",771826,"ERMN","XP_001235051.1",-5.22060046882374,-5.30846236176143,4.76264852449607,3.1762682622573e-08,1.69442567976205e-05
"XP_015157887.1",419401,"TMEM52","XP_015157887.1",-3.27466874163561,-3.28210982072933,5.88488983277288,3.49766616095903e-08,1.80153929124983e-05
"NP_990464.1",396032,"TNNC1","NP_990464.1",-4.78514306852081,-4.90529942452064,3.88308846623398,5.77687137886056e-08,2.87630425953467e-05
"NP_001026697.1",428612,"OLIG2","NP_001026697.1",-5.52050581600419,-5.60595359362118,5.40654544037898,6.80219865224804e-08,3.27756262156867e-05
"XP_015158025.1",100859605,"LOC100859605","XP_015158025.1",-5.75041779393297,-5.77662090969249,4.31510423180834,9.18417578028108e-08,4.28700105093933e-05
"XP_004935914.1",422007,"OTOF","XP_004935914.1",-3.84805191050199,-3.97984676891987,3.65577085680089,9.59366896215585e-08,4.29235689158917e-05
