"entrezid","geneid","genbank","logFC","unshrunk.logFC","logCPM","PValue","FDR"
"XP_420837.2",422895,"LOC422895","XP_420837.2",1.9833779889759,1.98678009537046,6.82610869550699,9.24590148436237e-20,1.38106030471921e-15
"NP_001292097.1",419533,"LOXL2","NP_001292097.1",3.66285514358707,3.66314907551995,7.19380273436697,1.03117922763044e-15,7.70136206155795e-12
"NP_989513.1",374002,"CKMT1A","NP_989513.1",2.61658060781314,2.6228852422966,6.04641056004067,9.8002155124972e-12,4.87952730367235e-08
"NP_989998.1",395387,"MMP9","NP_989998.1",-2.5485054589319,-2.54879820383366,5.94496073481411,1.40150944783925e-11,5.23358665559372e-08
"XP_416843.5",418645,"KIAA1324L","XP_416843.5",1.83865557202872,1.83891112444116,8.18508155065569,2.55743114212243e-11,7.64006979397654e-08
"XP_015134309.1",415315,"CD276","XP_015134309.1",1.71955626056412,1.72136592047692,3.14316001738638,6.30271911967051e-11,1.56906192484197e-07
"NP_001038101.1",416507,"RASD1","NP_001038101.1",1.9296658878249,1.93094511830387,7.4837779591602,1.07480650988037e-10,2.29348354829758e-07
"XP_003641055.1",100858979,"COL10A1","XP_003641055.1",6.7806185098804,6.78218280749826,7.28422823881279,1.33495784289502e-10,2.49253316241537e-07
"XP_421584.1",423705,"PLA2G12B","XP_421584.1",1.90953987618151,1.90981215378177,6.47146038921659,1.59632603574248e-10,2.64936911065393e-07
"XP_015138319.1",770339,"RP11-26J3.4","XP_015138319.1",5.52485415079467,144269483.730812,4.47534015984094,2.20874330059956e-10,3.29919986810556e-07
"XP_415893.1",417647,"CA4","XP_415893.1",-3.09684582842342,-3.10355759030888,4.2873108258222,2.80196812440723e-10,3.60507189148631e-07
"XP_015148815.1",100861584,"SLC6A8","XP_015148815.1",1.23435379938599,1.23450943380728,7.37583262468962,2.89806906056284e-10,3.60507189148631e-07
"XP_004941670.1",423206,"SPINT1","XP_004941670.1",1.48255556695313,1.48310613044061,5.28624716655796,3.24213094440595e-10,3.60507189148631e-07
"XP_418946.4",395736,"NEDD9","XP_418946.4",-1.25888045955504,-1.25935938296549,5.64436898867829,3.37892525144328e-10,3.60507189148631e-07
"XP_004939926.1",421139,"CA8","XP_004939926.1",3.27931835394753,3.28071766442368,5.24287097634431,5.18300323681014e-10,5.16123462321553e-07
"XP_425958.3",428397,"GHRH-LR","XP_425958.3",3.9721357153258,3.984650634473,2.44652630408788,8.63432288656546e-10,8.06068005978927e-07
"NP_989665.1",374241,"PI15","NP_989665.1",3.22012013499997,3.2425517591312,0.968302029818134,3.54228924439238e-09,3.11242202608759e-06
"XP_015140594.1",422019,"PNOC","XP_015140594.1",3.8752483538754,4.45005204274792,2.75288714772765,4.90909131847546e-09,4.07372761244822e-06
"XP_015142180.1",107053409,"LOC107053409","XP_015142180.1",-7.00481163306584,-7.06323294582418,2.07619978242434,1.01833313652359e-08,8.00570634750151e-06
"XP_015147439.1",418183,"PLEKHA5","XP_015147439.1",-1.56099707234724,-1.56485962914709,3.74521794380277,1.27140439964311e-08,9.4954837587346e-06
"XP_015139323.1",107052930,"ZFP36L2","XP_015139323.1",-0.909237204120928,-0.909303322483612,7.49703757475393,1.95308888522818e-08,1.38599581272181e-05
"NP_989690.1",378781,"GH","NP_989690.1",-2.84771004297629,-2.84836194967994,11.6602676146931,2.04136760258953e-08,1.38599581272181e-05
