"entrezid","geneid","genbank","logFC","unshrunk.logFC","logCPM","PValue","FDR"
"XP_015143726.1",107053650,"DDIT4","XP_015143726.1",-1.36419264420408,-1.36571383924437,4.95301925131749,4.83101135358328e-10,7.21608165884735e-06
"NP_989726.1",378912,"RGS2","NP_989726.1",-1.58480844163887,-1.58937172111159,6.78820835296295,1.19256870667773e-08,8.9066993858226e-05
"XP_015154371.1",395384,"C4BPA","XP_015154371.1",7.62191023651373,22.7168540995723,4.42611898418146,1.64417481289922e-07,0.00081863463934252
"NP_001186838.1",420570,"PDK4","NP_001186838.1",-1.76285078837939,-1.7655014685471,4.76798537140624,6.3812094163488e-07,0.00238290312630005
"XP_015130229.1",100858474,"LOC100858474","XP_015130229.1",6.98742124657635,144269485.213279,1.2170963935848,2.83231095373202e-06,0.00846124574317903
"NP_001182486.1",417981,"CYP2D6","NP_001182486.1",-2.96100551300745,-2.97265780303823,3.96111155192116,4.48525574599851e-06,0.0111660441796633
"XP_015145897.1",418219,"PPFIBP1","XP_015145897.1",-1.86923414360754,-1.88085198737049,3.18473278262183,3.45142670005222e-05,0.0736485151695428
"XP_015133129.1",427208,"ANKRD31","XP_015133129.1",4.65324480087418,144269482.832854,3.88133193669224,3.9664150328447e-05,0.0740579266820017
"XP_422368.2",424531,"MCOLN2","XP_422368.2",1.95670981533562,2.00795362018646,3.24001553319526,9.67358417913545e-05,0.160549252093051
"XP_015156665.1",107056149,"LOC107056149","XP_015156665.1",5.18549277507858,144269483.382648,1.70228464048253,0.00011671363424333,0.174335155469263
"XP_421201.4",423282,"FAM71BL","XP_421201.4",2.53703919488224,2.86538788148398,5.6029981830765,0.000214475160830083,0.29123777066536
"XP_015131638.1",396030,"BMPR1B","XP_015131638.1",1.53139758814442,1.53788957517869,4.08068203603931,0.000289726333119062,0.360636853149952
"XP_416732.1",418523,"SH3BGR","XP_416732.1",3.77128408144984,144269481.90054,1.1835317300518,0.00033427521126911,0.384082217748207
"XP_015148910.1",415984,"WNK2","XP_015148910.1",-3.63630979159069,-15.1695925423184,2.56162455697794,0.000565890403543661,0.603764639837976
"XP_015150505.1",101748559,"LOC101748559","XP_015150505.1",3.55481098903691,144269481.662785,1.70346546071727,0.000625105743428208,0.62248029930581
