"entrezid","geneid","genbank","logFC","unshrunk.logFC","logCPM","PValue","FDR"
"NP_001038131.1",429929,"GADD45B","NP_001038131.1",-2.15636179987677,-2.15690819831958,5.2515628856712,1.79014895970888e-13,2.67394550111716e-09
"XP_015153698.1",419759,"ZBTB16","XP_015153698.1",-2.30520478970876,-2.30576333388444,5.38648413596562,1.26746673198581e-12,9.46607528783602e-09
"NP_001264000.1",417327,"PMP22","NP_001264000.1",4.0620408532963,4.06444822381756,5.10554415515413,9.73988113996126e-11,4.84948681958671e-07
"XP_015158025.1",100859605,"LOC100859605","XP_015158025.1",7.52679192125874,7.55084072398605,4.31510423180834,2.3826930875011e-10,8.89757166200097e-07
"XP_001234376.2",771074,"TTPA","XP_001234376.2",-1.77965554809158,-1.78041457333354,5.02072890838071,4.14766950541154e-09,1.23907478804664e-05
"XP_015140389.1",421889,"MLIP","XP_015140389.1",6.35614626725324,6.47742770622984,1.30594962265678,1.29244215086967e-08,2.62666442865138e-05
"NP_989957.1",395335,"CISH","NP_989957.1",-1.69653948359458,-1.69667849485963,6.6262303788958,1.32066616619211e-08,2.62666442865138e-05
"XP_419036.3",420951,"VSTM2A","XP_419036.3",1.34606225564857,1.3474881521767,5.47160083588092,1.40679623948658e-08,2.62666442865138e-05
"XP_422158.3",424312,"RND3","XP_422158.3",1.72048443378122,1.72656798696475,4.09573008737822,1.66735027311274e-08,2.63413285112047e-05
"NP_001038152.1",693264,"NPY6R","NP_001038152.1",-7.0988645595617,-144269485.325554,2.87708749668308,1.76349524745295e-08,2.63413285112047e-05
"XP_004948022.1",395925,"KCNJ5","XP_004948022.1",-1.92188610134716,-1.92388622069551,3.39236677720815,2.36776664422027e-08,2.6965926763282e-05
"NP_001186441.1",422998,"SYT12","NP_001186441.1",-1.70898367505011,-1.7097473140035,4.61235416392538,2.44063339590672e-08,2.6965926763282e-05
"NP_989726.1",378912,"RGS2","NP_989726.1",-1.61769646820247,-1.61783849401442,6.78820835296295,2.52094275679643e-08,2.6965926763282e-05
"NP_001035558.1",429116,"PTGER3","NP_001035558.1",-2.01656088401835,-2.01673772297467,6.89470339810832,2.52743505848529e-08,2.6965926763282e-05
"XP_015138136.1",107052707,"CEBPD","XP_015138136.1",-1.72784446559896,-1.7281902668707,5.67452611622515,3.67292670370111e-08,3.49780194774348e-05
"XP_015137249.1",428448,"COL6A6","XP_015137249.1",2.16089158139156,2.16780827400508,4.60570787172063,3.74672498921441e-08,3.49780194774348e-05
"NP_990531.1",396119,"FST","NP_990531.1",3.90119714275364,3.94320923042268,2.81079554258594,5.54453349541321e-08,4.87168804829336e-05
"XP_425830.4",428270,"SYT6","XP_425830.4",-1.58244983490065,-1.5847007674007,2.79044828330532,8.30512338542752e-08,6.89186822267394e-05
"XP_419752.1",421715,"RSPO3","XP_419752.1",2.70938015792074,2.77115240548876,4.25558856460729,1.10319419853061e-07,8.67284828602721e-05
"NP_001186838.1",420570,"PDK4","NP_001186838.1",-2.22752492872912,-2.23282774164128,4.76798537140624,1.33179092477161e-07,9.49347527832284e-05
"XP_001232594.1",770169,"LRRN3","XP_001232594.1",1.33824094233099,1.34113951281481,4.49932288036129,1.33469224640008e-07,9.49347527832284e-05
"XP_015147447.1",427523,"GLDN","XP_015147447.1",3.29325911711877,3.30251643838903,3.73835457678191,1.62812859945053e-07,0.000110542531318148
"XP_015134044.1",100859468,"LOC100859468","XP_015134044.1",-1.14637743813552,-1.14733396530963,5.09161856552777,1.71714192091759e-07,0.000111517169011939
"XP_004939375.1",420573,"TAC1","XP_004939375.1",3.19991434491347,3.26732199824521,5.22626950925185,1.91934962298441e-07,0.000119455522160492
"XP_001232488.1",770534,"C5H15ORF62","XP_001232488.1",-1.80058567946251,-1.80259573072186,3.55154693468812,3.68856186789552e-07,0.000220384194483022
"NP_001264292.1",417931,"GAS2L3","NP_001264292.1",4.70092924764962,4.84211591720042,1.52055564834628,3.98413040056371e-07,0.000228888291512385
"NP_001152787.1",396459,"PVALB","NP_001152787.1",2.91747580120457,3.16659037702917,5.2316787608409,4.70673767946429e-07,0.00026038718784503
