"entrezid","geneid","genbank","logFC","unshrunk.logFC","logCPM","PValue","FDR"
"NP_001186838.1",420570,"PDK4","NP_001186838.1",-2.68872502686885,-2.69275253998913,4.76798537140624,3.86464592928099e-10,5.77262162456702e-06
"NP_989726.1",378912,"RGS2","NP_989726.1",-1.94445370353274,-1.95022086349235,6.78820835296295,3.11252655213891e-09,2.32459045546495e-05
"XP_418694.3",420592,"LRRC72","XP_418694.3",-6.3325475903306,-24.5581905684458,3.44288669989852,5.49135913428762e-07,0.00273414771296181
"XP_015143726.1",107053650,"DDIT4","XP_015143726.1",-1.15115296753946,-1.15228785152192,4.95301925131749,4.58138895194023e-06,0.0171080516937828
"NP_990666.1",396277,"TTR","NP_990666.1",-5.0705268149691,-5.07128883612654,8.80298524201699,1.22446347363447e-05,0.0365796218113561
"XP_001232407.2",769178,"METTL21EP","XP_001232407.2",1.64247392197524,1.64584754671597,4.53388868457423,3.06323849489666e-05,0.0686272876504438
"NP_001129257.1",771525,"TFAP2D","NP_001129257.1",2.33310314828287,2.37111730921322,-0.504701468462541,3.21611443765888e-05,0.0686272876504438
"XP_416360.3",418127,"SLC13A4","XP_416360.3",-5.29839944336677,-5.60311368282239,1.18340591373829,4.31675555513643e-05,0.080599222158841
"XP_015148334.1",415943,"DNAH1","XP_015148334.1",5.24527962256327,144269483.444229,0.740541671481999,5.27004135512596e-05,0.0874651196905738
"XP_015156293.1",107055647,"LOC107055647","XP_015156293.1",1.46657007388907,1.46692300045272,8.03236585106339,7.2888350738435e-05,0.108873329498
"XP_015146551.1",772289,"CRYZ","XP_015146551.1",-1.17546446304629,-1.17830916466752,2.96619801003384,9.50563706936982e-05,0.129077909913797
"XP_015134818.1",395960,"NR5A1","XP_015134818.1",-1.86194643632178,-1.88732909822074,6.43997952283857,0.000147834299502516,0.184016744305757
"XP_425551.4",427981,"CLIC6","XP_425551.4",-2.09749224721243,-2.10920130593699,5.51266119287249,0.000178086991188314,0.204621952875373
"XP_015150306.1",426999,"ACSM3","XP_015150306.1",-4.69096171704523,-144269482.870761,1.5606897874184,0.000227778853648176,0.243023766924486
"NP_001280027.1",396314,"PRRX2","NP_001280027.1",1.61389238352816,1.6482529073861,0.592882173257198,0.000278493254670826,0.277323583001208
"XP_418412.4",420300,"LOC420300","XP_418412.4",2.09839742790822,2.10864936091816,1.94335473907507,0.000345205281190158,0.295284828776006
"XP_015147763.1",419033,"ARHGEF19","XP_015147763.1",-0.779872354996611,-0.780674176313614,5.75369597275641,0.000354450998601991,0.295284828776006
"XP_015135864.1",427459,"SLC28A3","XP_015135864.1",2.64201830105913,2.98708916912913,6.78019655817315,0.000375703052895496,0.295284828776006
"XP_004939031.1",101748683,"LOC101748683","XP_004939031.1",3.73090338830981,144269481.855489,6.48124272477863,0.000395280912680471,0.295284828776006
"XP_015128714.1",395532,"COL1A1","XP_015128714.1",1.38429325155714,1.39209185687514,7.60671754182484,0.000395373674467438,0.295284828776006
"XP_015141941.1",423037,"MRVI1","XP_015141941.1",0.843226066129631,0.843616036089265,5.27774668337062,0.000426647975109892,0.303468609724593
"XP_015130206.1",107051021,"TXNIP","XP_015130206.1",-0.979166640720847,-0.979368345770269,7.1490622260572,0.000487662643153867,0.327799571771371
"XP_015147122.1",395358,"BCHE","XP_015147122.1",-1.39848665117122,-1.39950640225933,6.54394514770522,0.000504745943010078,0.327799571771371
"NP_998745.1",404773,"RP5-966M1.6","NP_998745.1",3.03969684173222,3.55020026985644,-0.834692291473913,0.000652979192530124,0.406397924950936
"XP_015140420.1",421910,"FAM150B","XP_015140420.1",1.50803871710347,1.51388719560727,1.71046344621912,0.000748139715183339,0.446998517027742
