"TXPID","ENTREZID","GENEBANKID","GENENAME","logFC","logCPM","F","PValue","FDR"
"RockDoveHPG_Transcript_37780",428888,"XM_015287679.1","LTBP2",428888,2.12369306622511,5.83815485162597,42.9352541145223,9.81345329426788e-09,4.00548031486577e-06
"RockDoveHPG_Transcript_17789",769087,"XM_001232283.4","ANGPTL4",769087,1.61983543141482,4.31170514375003,42.1160852553841,1.24313096089169e-08,4.94046415036482e-06
"RockDoveHPG_Transcript_48075",420129,"XM_418246.5","IFI30",420129,3.86365643144467,4.15823163023921,42.113900655205,1.33734923266767e-08,5.17862772096082e-06
"RockDoveHPG_Transcript_7419",427437,"NM_001007982.1","annotated by transcript or proteomic data",427437,-1.1888980880733,4.21549439715848,41.1495876868477,1.68525936372781e-08,6.36269672775435e-06
"RockDoveHPG_Transcript_12059",427218,"XM_015277665.1","TNPO1",427218,1.1205617349196,6.31573548827983,40.9852160590841,1.77527495602788e-08,6.53907375266658e-06
"RockDoveHPG_Transcript_26499",419464,"NM_001012837.1","annotated by transcript or proteomic data",419464,1.05288620914974,5.24373982838316,40.4507965251667,2.10374747151153e-08,7.56447483684933e-06
"RockDoveHPG_Transcript_32631",396198,"NM_205262.1","annotated by transcript or proteomic data",396198,1.99822464948865,6.13314909198938,39.4833424342226,2.92253622915821e-08,1.02642191006389e-05
"RockDoveHPG_Transcript_10877",427238,"NM_001031421.1","annotated by transcript or proteomic data",427238,-1.24110837843772,5.59339333603775,38.667422783777,3.73139147657727e-08,1.28071531998341e-05
"RockDoveHPG_Transcript_66995",107054855,"XR_001469633.1","LOC107054855",107054855,2.92919667987339,2.30329090923254,38.27056661757,4.24483609806735e-08,1.4245669945114e-05
"RockDoveHPG_Transcript_22475",417253,"XM_015279682.1","LOC417253",417253,2.35915704682077,4.18959923736936,38.1081240791927,4.48615830310709e-08,1.47282527594616e-05
"RockDoveHPG_Transcript_29315",396018,"XM_015288197.1","CHST3",396018,2.48724634387519,2.53000081341751,37.8901379265145,4.80556855280571e-08,1.54412119754195e-05
"RockDoveHPG_Transcript_12555",423767,"XM_421638.5","ABCG2",423767,1.18998185092822,4.43715798948489,37.4710285810906,5.51250535340108e-08,1.71786295131005e-05
