 Name	ovary	testes	pituitary	hypothalamus
 RockDoveHPG_Transcript_10122 	1	1	1	1
 RockDoveHPG_Transcript_10123 	1	1	1	1
 RockDoveHPG_Transcript_10124 	1	1	1	1
 RockDoveHPG_Transcript_10125 	1	0	0	0
 RockDoveHPG_Transcript_10126 	1	1	1	1
 RockDoveHPG_Transcript_10127 	1	1	1	1
 RockDoveHPG_Transcript_10129 	1	1	1	1
 RockDoveHPG_Transcript_1013 	1	1	1	1
 RockDoveHPG_Transcript_10130 	1	1	1	1
 RockDoveHPG_Transcript_10131 	1	1	1	0
 RockDoveHPG_Transcript_10132 	1	1	1	1
 RockDoveHPG_Transcript_10133 	1	1	1	1
 RockDoveHPG_Transcript_10134 	1	1	1	1
 RockDoveHPG_Transcript_10135 	1	1	1	1
 RockDoveHPG_Transcript_10139 	1	1	1	1
 RockDoveHPG_Transcript_1014 	1	1	1	1
 RockDoveHPG_Transcript_10140 	0	1	1	1
 RockDoveHPG_Transcript_10141 	1	1	1	1
 RockDoveHPG_Transcript_10143 	0	1	0	0
 RockDoveHPG_Transcript_10144 	1	1	1	1
 RockDoveHPG_Transcript_10145 	1	0	1	0
 RockDoveHPG_Transcript_10146 	1	1	1	1
 RockDoveHPG_Transcript_10147 	1	1	1	1
 RockDoveHPG_Transcript_10150 	0	0	0	1
 RockDoveHPG_Transcript_10152 	1	1	1	1
 RockDoveHPG_Transcript_10153 	1	1	1	1
 RockDoveHPG_Transcript_10154 	1	1	1	1
 RockDoveHPG_Transcript_10155 	1	1	1	1
 RockDoveHPG_Transcript_10156 	1	0	1	1
 RockDoveHPG_Transcript_10158 	1	1	1	1
 RockDoveHPG_Transcript_10159 	1	1	1	1
 RockDoveHPG_Transcript_10161 	1	1	1	1
 RockDoveHPG_Transcript_10162 	1	0	1	1
 RockDoveHPG_Transcript_10163 	1	1	1	1
 RockDoveHPG_Transcript_10164 	1	1	1	1
 RockDoveHPG_Transcript_10167 	1	1	1	1
 RockDoveHPG_Transcript_10168 	0	0	1	0
 RockDoveHPG_Transcript_10169 	1	1	1	1
 RockDoveHPG_Transcript_1017 	1	1	1	1
 RockDoveHPG_Transcript_10171 	1	1	1	1
 RockDoveHPG_Transcript_10172 	1	1	1	1
 RockDoveHPG_Transcript_10173 	1	1	1	1
 RockDoveHPG_Transcript_10175 	1	1	1	1
 RockDoveHPG_Transcript_10176 	1	1	1	1
 RockDoveHPG_Transcript_10177 	1	1	1	1
 RockDoveHPG_Transcript_10178 	0	0	1	1
 RockDoveHPG_Transcript_10179 	1	0	1	0
 RockDoveHPG_Transcript_10180 	1	1	1	1
 RockDoveHPG_Transcript_10181 	1	1	1	1
 RockDoveHPG_Transcript_10182 	0	1	0	1
 RockDoveHPG_Transcript_10183 	1	1	1	1
 RockDoveHPG_Transcript_10184 	1	1	1	1
 RockDoveHPG_Transcript_10185 	1	1	1	1
 RockDoveHPG_Transcript_10188 	1	1	0	0
 RockDoveHPG_Transcript_10189 	1	1	1	1
 RockDoveHPG_Transcript_1019 	1	1	1	1
 RockDoveHPG_Transcript_10191 	1	1	1	1
 RockDoveHPG_Transcript_10192 	1	1	1	1
 RockDoveHPG_Transcript_10193 	1	1	1	1
 RockDoveHPG_Transcript_10195 	1	1	1	1
 RockDoveHPG_Transcript_10197 	1	1	1	1
 RockDoveHPG_Transcript_10198 	0	1	0	0
 RockDoveHPG_Transcript_10199 	1	1	1	1
 RockDoveHPG_Transcript_102 	1	1	1	1
 RockDoveHPG_Transcript_1020 	1	1	1	1
 RockDoveHPG_Transcript_10200 	0	0	0	0
 RockDoveHPG_Transcript_10201 	1	1	0	0
 RockDoveHPG_Transcript_10202 	0	0	1	1
 RockDoveHPG_Transcript_10203 	0	0	1	0
 RockDoveHPG_Transcript_10205 	1	1	1	1
 RockDoveHPG_Transcript_10206 	1	1	1	1
 RockDoveHPG_Transcript_10208 	1	1	1	0
 RockDoveHPG_Transcript_10209 	1	1	1	1
 RockDoveHPG_Transcript_1021 	1	1	1	1
 RockDoveHPG_Transcript_10211 	1	0	1	1
 RockDoveHPG_Transcript_10213 	1	0	1	1
 RockDoveHPG_Transcript_10214 	1	1	1	1
 RockDoveHPG_Transcript_10216 	0	0	1	1
 RockDoveHPG_Transcript_10217 	1	1	1	1
 RockDoveHPG_Transcript_10218 	1	1	1	0
 RockDoveHPG_Transcript_10219 	1	1	1	1
 RockDoveHPG_Transcript_1022 	1	1	1	1
 RockDoveHPG_Transcript_10220 	1	1	1	1
 RockDoveHPG_Transcript_10223 	1	1	1	1
 RockDoveHPG_Transcript_10224 	1	1	1	1
 RockDoveHPG_Transcript_10225 	0	1	0	0
 RockDoveHPG_Transcript_10226 	1	1	1	1
 RockDoveHPG_Transcript_10227 	0	0	1	1
 RockDoveHPG_Transcript_10228 	1	1	0	0
 RockDoveHPG_Transcript_10230 	1	0	1	1
 RockDoveHPG_Transcript_10231 	1	1	1	1
 RockDoveHPG_Transcript_10232 	1	1	1	1
 RockDoveHPG_Transcript_10233 	1	1	1	1
 RockDoveHPG_Transcript_10234 	1	1	1	1
 RockDoveHPG_Transcript_10235 	1	1	1	1
 RockDoveHPG_Transcript_10236 	1	1	0	0
 RockDoveHPG_Transcript_10238 	1	1	1	1
 RockDoveHPG_Transcript_10239 	1	1	1	1
 RockDoveHPG_Transcript_10240 	1	1	1	1
 RockDoveHPG_Transcript_10241 	0	1	0	1
 RockDoveHPG_Transcript_10242 	1	1	1	1
 RockDoveHPG_Transcript_10243 	1	1	1	1
 RockDoveHPG_Transcript_10244 	0	1	1	1
 RockDoveHPG_Transcript_10245 	1	1	1	1
 RockDoveHPG_Transcript_10246 	0	1	0	0
 RockDoveHPG_Transcript_10248 	1	1	1	1
 RockDoveHPG_Transcript_1025 	1	1	1	1
 RockDoveHPG_Transcript_10250 	1	1	1	1
 RockDoveHPG_Transcript_10252 	1	1	1	1
 RockDoveHPG_Transcript_10253 	1	1	1	1
 RockDoveHPG_Transcript_10254 	1	1	0	0
 RockDoveHPG_Transcript_10255 	1	1	1	1
 RockDoveHPG_Transcript_10256 	1	1	0	0
 RockDoveHPG_Transcript_10257 	1	0	1	0
 RockDoveHPG_Transcript_10258 	1	1	1	1
 RockDoveHPG_Transcript_10260 	1	1	1	1
 RockDoveHPG_Transcript_10261 	1	1	1	1
 RockDoveHPG_Transcript_10262 	1	1	1	1
 RockDoveHPG_Transcript_10263 	1	1	1	1
 RockDoveHPG_Transcript_10264 	0	1	1	1
 RockDoveHPG_Transcript_10266 	1	1	1	1
 RockDoveHPG_Transcript_10269 	1	1	1	1
 RockDoveHPG_Transcript_10271 	1	1	1	0
 RockDoveHPG_Transcript_10273 	1	1	1	1
 RockDoveHPG_Transcript_10274 	0	0	1	1
 RockDoveHPG_Transcript_10275 	1	0	1	1
 RockDoveHPG_Transcript_10277 	1	1	1	1
 RockDoveHPG_Transcript_10278 	1	1	1	1
 RockDoveHPG_Transcript_1028 	1	0	1	1
