"genes","logFC","logCPM","F","PValue","FDR"
"7354","XM_015286679.1",2.8941437126242,3.65184636074501,31.1303597327689,4.74103943439527e-07,0.00715991775382374
"13330","XM_004950242.2",2.68198690349278,4.31761421090772,27.4373044652132,1.81295004231868e-06,0.0105357682239598
"10511","XM_015291704.1",-1.67411682646382,4.50799292818992,26.9980197234377,2.09292177671034e-06,0.0105357682239598
"12321","XM_015277451.1",3.53532901670596,0.785668870702951,22.9034277801065,9.81116054319448e-06,0.0370420366308308
"2088","NM_001030590.1",0.795791521013117,5.88201294774703,21.2557645254525,1.86886082533057e-05,0.0492447785458486
"199","NM_204273.1",-1.55899705171884,7.52792561605043,21.1566422477237,1.95648703002974e-05,0.0492447785458486
"3817","XM_015294116.1",1.47218239778729,3.46171098925711,20.1919135639392,2.85435149596342e-05,0.0512389512317531
"3431","NM_001199603.1",1.6513302482178,7.75842768514648,20.0271012952674,3.05544093193118e-05,0.0512389512317531
"13487","XM_015273952.1",2.34068362150677,2.76909867710605,19.3972575729003,3.93207837292214e-05,0.0512389512317531
"2778","XM_015275298.1",-0.992907954591576,5.37774838701829,19.0150931620879,4.59266874536491e-05,0.0512389512317531
"2407","NM_001030625.1",-0.820871995246116,5.72555800972595,18.6319176230718,5.37088455458582e-05,0.0512389512317531
"11051","XM_004941071.2",-0.71989919134283,5.48949191092181,18.6202691998208,5.39657357537679e-05,0.0512389512317531
"1549","NM_001277105.1",1.83126989207986,9.14188713132781,18.6298647262144,5.42369645273452e-05,0.0512389512317531
"10777","NM_001031613.1",-0.811873920302383,5.52638180233834,18.5910163372629,5.46164857619893e-05,0.0512389512317531
"11708","NM_001277727.1",-1.04555654896489,6.10747822491811,18.5435097593086,5.56906464569379e-05,0.0512389512317531
"13827","XR_001463774.1",3.00055504403221,1.29374793785785,18.4731636797298,5.73215163527116e-05,0.0512389512317531
"4695","NM_001277905.1",-0.842564635590764,6.37715895563474,18.1786982261252,6.47031139254975e-05,0.0512389512317531
"7311","XM_015286455.1",-1.03408604852208,5.07126994348387,18.0955453576721,6.69607723959845e-05,0.0512389512317531
"7996","XM_421797.5",-0.689060322944255,4.9385356535191,17.9647717774694,7.06775781239456e-05,0.0512389512317531
"4887","XM_004948009.2",-3.00154370557605,5.10443048924738,17.7589604636476,7.70213395951051e-05,0.0512389512317531
"14540","XR_001468886.1",-4.65470173341968,-0.748445465804932,17.8711757370945,8.36585919667309e-05,0.0512389512317531
"309","NM_204373.1",-4.25976289512621,-0.499037663972826,17.8598835990724,8.40396237958902e-05,0.0512389512317531
"1180","NM_205197.2",1.06811534228913,3.80888056898377,17.1225008815263,0.000100333387235496,0.0512389512317531
"1856","XM_413980.5",-0.991728396791897,7.2775354844649,17.1037038145789,0.000101125927020401,0.0512389512317531
"9462","XM_430486.5",2.98231282719408,2.7419958310052,17.0999699675746,0.000101284126736347,0.0512389512317531
"14066","XR_001465517.1",-0.459955366931739,6.87655898111354,17.0860349280868,0.000101876806784963,0.0512389512317531
"7129","XM_015285501.1",-0.747951659881603,6.246113052564,17.0333973822034,0.000104148145719278,0.0512389512317531
"4264","XM_004938742.2",1.37253095755456,6.08945641709369,17.0218611894159,0.000105000200616123,0.0512389512317531
"1316","NM_205343.1",-2.20568228949617,1.40075007912292,16.9976450596256,0.000105720710536323,0.0512389512317531
"3500","XM_015283764.1",-0.957018264508959,3.45859315574955,16.9253647301961,0.000108975469233431,0.0512389512317531
"11787","NM_001198782.1",-1.24018866838658,6.94755729488564,16.8956239969416,0.000110506460781559,0.0512389512317531
"14838","XM_015301103.1",2.55461017863202,3.19348270645066,16.8876673111322,0.000111185121663569,0.0512389512317531
"9751","XM_015293822.1",-1.23387520787212,4.10593994551873,16.8437125621585,0.000112777290897537,0.0512389512317531
"3943","XM_001231638.3",-1.49091592312812,6.50494149460299,16.7918799488107,0.000116584707641499,0.0512389512317531
"6005","NM_001031036.2",-1.26659561921582,5.0493315767881,16.7210196274699,0.000118750052516975,0.0512389512317531
"5697","XM_015275973.1",-1.02972944014326,5.68671656512584,16.5136469880834,0.000129600496942785,0.0524474733161261
"13167","XR_001467361.1",1.92865200898949,1.99678302554181,16.4731290353534,0.000131837727030345,0.0524474733161261
"3074","XM_415587.5",0.987966689287371,6.3147698363637,16.4707640582874,0.000131969539532035,0.0524474733161261
"12342","XM_015275690.1",-0.607822654156473,6.55194842443242,16.3427806972354,0.000139310092105545,0.0539451541276396
