"GeneID","Entrez","logFC","logCPM","LR","PValue","FDR"
"421139","CA8",421139,4.29193720435239,4.17065100097704,106.527796320004,5.64945084712708e-25,8.95833420828942e-21
"419829","KLHDC8A",419829,2.08085589280696,5.14566377778588,100.43349307843,1.22440009152796e-23,9.70765612567944e-20
"427466","CTSL2",427466,-1.59620740438747,7.7881581602962,99.2813480541548,2.19061510808897e-23,1.15788612563223e-19
"431418","GPR139",431418,-3.31671552774248,4.44275027870254,96.0603303503087,1.11435430190802e-22,4.41757904133886e-19
"417255","TUBB4B",417255,1.68820475622208,10.7940092594003,83.183299587086,7.47868746228813e-20,2.37179094179006e-16
"419534","R3HCC1",419534,1.96716206923114,5.70614859282287,82.6975027606572,9.56219794473566e-20,2.52712954682789e-16
"416327","SLC22A4",416327,4.18159945827017,4.08652888779713,80.2021934129481,3.37991802666782e-19,7.65648002126737e-16
"430750","RAB31",430750,-1.68375510826731,4.60552637274087,78.3813214212329,8.49516472576534e-19,1.68384783820576e-15
"396449","RBP",396449,6.57912998224535,3.76948654783142,76.7542883834476,1.93607411632785e-18,3.41114747362341e-15
"420842","GMPR",420842,1.33630173990371,6.34467174322776,74.1584884389822,7.20904254985298e-18,1.14313787713019e-14
"770805","SQSTM1",770805,-0.954783491547972,7.1117753500332,73.5747128780349,9.68981279736519e-18,1.29390029049814e-14
"395387","MMP9",395387,-2.53499904975397,5.66282341617266,73.5540530932122,9.79176608814885e-18,1.29390029049814e-14
"374241","PI15",374241,4.84590863280171,1.28703636733207,72.8862433833191,1.37342153204378e-17,1.67525732566294e-14
"426169","CDC20B",426169,5.43642229471121,2.86464199132364,67.6680089426232,1.93477444542311e-16,2.19140845579101e-13
"424697","AK4",424697,-1.58059758522256,5.09014471356788,66.7150443896995,3.13731598258159e-16,3.31656130238642e-13
"419968","KIF18B",419968,2.20938106816643,4.2194390858998,66.3324842027583,3.80928891182454e-16,3.77524339217511e-13
"107056139","LOC107056139",107056139,-2.53436502054355,2.23612934388917,65.4660622953738,5.91233913978181e-16,5.5148212787953e-13
"772201","ASPG",772201,-1.90525798362771,4.99779913614247,64.773628947272,8.40160600171012e-16,7.40134813161763e-13
"415505","FAM174B",415505,1.11201709801005,7.7669489114145,63.4368044615626,1.65594970892526e-15,1.38202076496989e-12
"395882","BPIFB2",395882,11.3920545029099,7.020774854301,62.3571580409052,2.86488241222631e-15,2.27142202053363e-12
"427119","ELL2",427119,-1.51521492939105,5.64240764122766,61.9589253689345,3.50696643639544e-15,2.64809365628203e-12
"426871","METTL7A",426871,2.29399780396599,4.24515081839208,61.8383275750172,3.72845991105726e-15,2.68049995785328e-12
"424636","RAB3B",424636,1.9070364821434,6.96691697553671,61.7558398320132,3.88796739803402e-15,2.68049995785328e-12
"427605","PSD2",427605,2.19283509435491,4.45828744642872,60.6794469276539,6.71677723009316e-15,4.43783068906614e-12
"417829","GNS",417829,-1.5315265989249,8.09871121558603,59.946129854703,9.7489510269564e-15,6.1835646573779e-12
"771648","SSTR1",771648,4.17043300714939,3.48499492801684,59.6122240331417,1.15515424844155e-14,7.04510804520677e-12
"419697","NIPAL3",419697,0.88306891132086,6.60850020627441,58.3268613897952,2.21992284039425e-14,1.3037524622271e-11
"416743","ITPKB",416743,1.04747279667703,5.33157182792916,58.0309579115782,2.58025052692899e-14,1.46125116448261e-11
"374105","RIMBP2",374105,2.4056943241793,7.35146705467042,57.8766969492123,2.79073631116817e-14,1.52595536848944e-11
"421604","MPPED2",421604,1.59678028377723,3.79400754959732,57.7785562517387,2.93350306090077e-14,1.55055193455678e-11
"396451","PTGS2",396451,-1.75676485812385,3.28462409314443,57.4009510852102,3.55435364005617e-14,1.81810921517325e-11
"107051890","LOC107051890",107051890,6.46026617387942,0.0456524422944377,56.8378309862814,4.73273598454829e-14,2.34521857834319e-11
"418903","DCLK1",418903,1.74572893052727,6.73057704764537,56.7735963134757,4.88988038958594e-14,2.34966161629286e-11
"100858277","ADAMTS18",100858277,2.10643267763472,4.6507012644854,55.7887115382918,8.06935614360425e-14,3.76340530497449e-11
"101748614","LOC101748614",101748614,-1.28921154249683,5.17418086212556,55.3852707329659,9.90760717182513e-14,4.48871219781803e-11
"100859696","LOC100859696",100859696,2.33983146485418,3.97963218092036,54.5246151127709,1.53512873189065e-13,6.76181563933055e-11
"418645","KIAA1324L",418645,1.70879624706429,7.19965675939293,52.7181534268499,3.85015935590973e-13,1.65005342990974e-10
"101751203","LOC101751203",101751203,-1.77925707946843,3.23554179682422,52.6051735014303,4.07813535976552e-13,1.70176295788952e-10
"373978","COL18A1",373978,1.31336405007002,6.28110797142998,52.164757598847,5.10338719055262e-13,2.07498488924597e-10
"418696","TSGA10",418696,1.87217370740575,5.57646636366943,51.8396614406046,6.02229429590493e-13,2.38738801625411e-10
"420571","DYNC1I1",420571,2.32832416253192,5.9006464159594,51.7310588083122,6.36478936296423e-13,2.46162109581765e-10
"418420","TAGLN3",418420,2.38065272277854,5.45753103356998,51.341751225844,7.76074142284147e-13,2.93004944623803e-10
"417006","GAL3ST1",417006,3.09611415452701,2.42264449182189,51.274929020671,8.02945734579893e-13,2.96100244493799e-10
"395185","SLC35B1",395185,1.22170732051048,5.94954616475866,51.0817190513426,8.85995873469416e-13,3.19300831036467e-10
"415945","SEMA3G",415945,2.44491462077668,2.51123067824504,51.0024021285552,9.22530006166489e-13,3.25079073506267e-10
"421948","MYCN",421948,1.59598612379256,3.35505379018746,50.6549137357075,1.1012040425718e-12,3.79604184849153e-10
"100857704","GMNC",100857704,3.55383013404851,3.0515255238378,49.9954961908954,1.54099277997763e-12,5.19904734300111e-10
