"GeneID","Entrez","logFC","logCPM","LR","PValue","FDR"
"422975","PRMT3",422975,1.72010235454809,5.54883853704734,157.613651762346,3.7588975463079e-36,5.96048383918044e-32
"422431","C4H4ORF27",422431,1.61833312448405,6.33161536494564,142.034991316864,9.55499102515474e-33,7.57567463429393e-29
"426991","ACSM4",426991,4.61380278331942,4.17460010534637,138.200750880757,6.58696771323475e-32,3.48165156762545e-28
"418291","LRRC23",418291,-2.43597743985049,5.67403802529113,137.460824621339,9.56110035585784e-32,3.79025920857094e-28
"430546","PURA",430546,-1.1759595827762,5.44651422496392,135.081001118308,3.1697032018151e-31,1.00523967342364e-27
"396210","NFIA",396210,-1.98054036238897,5.70773433064055,132.478290591036,1.17585524511874e-30,3.10758943697465e-27
"417692","KIF21A",417692,-1.36925615560943,8.20674462324483,132.161995257193,1.37894841422893e-30,3.12371214348974e-27
"424039","PCNT",424039,-1.79802910331819,7.69468322779944,131.14244241497,2.30461369310815e-30,4.56803241645198e-27
"424246","DIRC2",424246,-1.64651265773482,6.0621864776167,130.40458076529,3.34218057139507e-30,5.88855081340129e-27
"423130","ZDHHC5",423130,-1.96952600858708,4.84690464554252,129.627640381151,4.94332031765316e-30,7.83862302770262e-27
"418885","TPTE2",418885,2.08444531311015,5.95571111200862,126.810422167031,2.04394669194692e-29,2.9464420631093e-26
"421772","SNX3",421772,1.38255008854468,6.8354653826984,125.315645866983,4.34101834361538e-29,5.73629398955909e-26
"420821","DCDC2",420821,-3.61849187313219,5.72369383088136,124.487307038405,6.58993356906143e-29,8.03819820035439e-26
"424658","CDCP2",424658,2.17411347530215,4.04733357807149,123.518050686973,1.07404720040016e-28,1.21651188976752e-25
"421054","LOC421054",421054,-1.99099925938386,5.98438421490849,122.431760262935,1.85693415636438e-28,1.963026994498e-25
"395411","ZBTB7A",395411,-1.39042303950594,4.76832028314763,121.615546382702,2.80197792560729e-28,2.77693524789717e-25
"373978","COL18A1",373978,-1.83372397073872,6.28110797142998,119.733621363438,7.23522579419257e-28,6.74876325991245e-25
