"GeneID","Entrez","logFC","logCPM","LR","PValue","FDR"
"769726","LOC769726",769726,4.9919418527212,7.39533551323113,41.0725504522282,1.46681975320679e-10,1.52687222301697e-06
"417431","APOH",417431,5.91626145170716,5.70473408069298,40.540524185493,1.92580213535596e-10,1.52687222301697e-06
"395921","CNP",395921,1.90293245033133,7.80119467343422,39.5764446273535,3.15465516092757e-10,1.66744556289428e-06
"418151","NINJ2",418151,3.25259722181639,5.13494456824181,36.5195383368186,1.51143604733619e-09,5.9917103506525e-06
"395573","SOX10",395573,4.03936650638205,3.63333738744376,33.3045943297631,7.87962618349391e-09,2.49894464783326e-05
"415687","FA2H",415687,2.61063915087192,3.31486946858475,30.1354229150319,4.02904248479156e-08,0.000106480877802233
"419338","BCAS1",419338,2.09181761150924,6.18070173120016,28.7540147304102,8.21793855903652e-08,0.000186159788186632
"395591","NKX6-2",395591,3.85736949490169,2.46887184543459,26.2918179910497,2.93529591178804e-07,0.000581812340915288
"415650","PLLP",415650,2.92371768942923,5.26533998110184,25.9021290695742,3.59172779588311e-07,0.000632822529547982
"374033","UGT8",374033,1.56905371683878,6.36702632779918,25.1995267975845,5.16948798869184e-07,0.000819725710366865
"396214","PLP1",396214,2.05577714548064,9.33732625271883,24.0854104195947,9.21558761292387e-07,0.00132846884343758
"422966","C5H11ORF9",422966,2.23056038061083,4.86601241875766,23.7841060642615,1.07768694800382e-06,0.0013932668799834
"107050516","LOC107050516",107050516,2.08693314846052,5.47500497124587,23.4620812742645,1.27400155863929e-06,0.0013932668799834
"422415","RXFP1",396211,-3.04495036321512,7.43073356635041,23.3289043090484,1.36532744641861e-06,0.0013932668799834
"396211","MYH11",396211,-3.04495036078325,7.43073356635041,23.3288922669861,1.36533599428888e-06,0.0013932668799834
"428612","OLIG2",428612,4.74935391598662,4.04074180463126,23.2726753112429,1.40583149900577e-06,0.0013932668799834
"100859605","LOC100859605",100859605,3.56038898878613,3.0833825411554,21.9186550201628,2.84455214920791e-06,0.00265329784882293
"424019","MLPH",424019,3.09768974832148,5.5697780488369,21.4944255108205,3.54858726053412e-06,0.00312610823279386
"424441","HEBP2",424441,0.913665565022835,7.15362103136328,21.1721139038573,4.19828842309684e-06,0.00334988002165346
"424593","SEPP1L",424593,3.15434241434956,5.97795956920383,21.1599081186934,4.22511196525631e-06,0.00334988002165346
"395483","SOX8",395483,1.59153828275617,4.06481171789534,20.598973962172,5.66264548277363e-06,0.00423909858100821
"425975","HAPLN2",425975,4.72841686433285,2.91529435643299,20.5264391204259,5.88132489009149e-06,0.00423909858100821
"396089","CRYAB",396089,4.0950235780719,4.94893294690306,20.2273062609174,6.87643492536151e-06,0.00474085341788946
"419414","TMEM88B",419414,2.71890413507614,3.07885367966382,19.5883456114038,9.60533374649504e-06,0.0061751939136812
"770718","LOC770718",770718,1.12778719221433,3.50009089219725,19.5625797498265,9.73575378962162e-06,0.0061751939136812
"100859848","LOC100859848",100859848,1.30958433743019,6.52097763800043,19.0169411427484,1.29563023541859e-05,0.00790184947808943
"771808","PIPOX",771808,3.23687614416766,4.42748960202234,18.6481286521561,1.57201493850252e-05,0.00903009650411758
"769024","GPR17",769024,3.26127254274132,1.33406061002217,18.621030908199,1.59451789187925e-05,0.00903009650411758
"419969","GFAP",419969,4.42551143540772,6.63549985665057,18.4653219785038,1.73024118241123e-05,0.00946083945844653
"428448","COL6A6",428448,1.12374098121654,5.04500123683229,18.3251423170661,1.86233055385671e-05,0.00960965867578432
"426690","ETNK2",426690,1.61798668267749,3.57580893375969,18.3085088032802,1.87866190924711e-05,0.00960965867578432
"424038","S100B",424038,2.38521327128807,4.21704876348795,18.183354227602,2.00624683185633e-05,0.00994158000398307
