"GeneID","Entrez","logFC","logCPM","LR","PValue","FDR"
"107056909","LOC107056909",107056909,6.13065108167662,2.00957197645262,92.5682712763907,6.50418812646661e-22,1.03136911121381e-17
"423233","CAPN3",423233,-3.99235517951486,7.3036486949384,84.0381793630524,4.85311452945418e-20,3.84779185467775e-16
"418319","NAA50",418319,-1.04843125986557,7.02530801162473,70.6473844840493,4.27133616133126e-17,2.25768591700766e-13
"396448","RPS15",396448,-1.34772508209498,6.86365738334044,61.6829132457315,4.03466320964099e-15,1.46566507794347e-11
"423950","GPR26",423950,6.82927244905894,0.576042454001533,61.3111489136249,4.87313019453456e-15,1.46566507794347e-11
"772218","LOC772218",772218,3.88831721417878,1.74261789873282,61.0565714045653,5.54580971663039e-15,1.46566507794347e-11
"100859094","S100A16",100859094,4.46946560132237,1.06638653938792,60.3525945967625,7.92999589213389e-15,1.79637064087953e-11
"395620","RGS7",395620,-2.37466810538752,6.91715504230945,59.530310323361,1.20424993448066e-14,2.38697390138248e-11
"101749501","FAM196B",101749501,4.43190304252025,0.337352342118589,58.2038551862339,2.36315512901463e-14,4.16361676453167e-11
"419335","LOC419335",419335,4.51905333272434,1.6457851674832,57.904774894905,2.75118499219744e-14,4.36255404212747e-11
"420788","ADCY1",420788,2.87158473240779,2.03007444278254,57.589033201016,3.23021606590192e-14,4.65650328700062e-11
"420102","HMHA1",420102,3.62646775024892,0.973821316685574,55.7460154275536,8.24652515455142e-14,1.03305545437982e-10
"418821","DIS3",418821,0.68262791106893,6.52207072657963,55.693619975782,8.46926966446217e-14,1.03305545437982e-10
"777552","BIN2",777552,5.45975727016072,0.335625842922637,55.4618881957834,9.52886756620341e-14,1.07928037855205e-10
"396409","PTPN2",396409,0.720133930961281,6.52944703279237,55.156046691581,1.11330650131373e-13,1.17691341275545e-10
"107056205","LOC107056205",107056205,2.94987131873498,1.0093944761291,53.1177225013174,3.14145299602007e-13,3.11337625986814e-10
"768473","FAM155A",768473,1.37214707318819,4.35332393210718,52.5357424000979,4.22488802645635e-13,3.94082643738343e-10
"424433","BRINP2",424433,2.92250271472496,3.64600512153183,51.7045271430876,6.45138217461712e-13,5.00660812040829e-10
"107055191","LOC107055191",107055191,6.4160885963683,0.280296445920634,51.6694456157276,6.56769222859225e-13,5.00660812040829e-10
"107049499","LOC107049499",107049499,1.72775399436708,3.39802640297741,51.6660752469764,6.57897630702989e-13,5.00660812040829e-10
"427387","SEMA6A",427387,-1.75792248499945,5.1641085119254,51.6507790570602,6.63043264984386e-13,5.00660812040829e-10
"416999","AIFM3",416999,3.08333884049683,2.09725388341645,51.2187726285071,8.26246932456493e-13,5.95536254907392e-10
"419662","LOC419662",419662,0.692853170540418,5.04260633675175,51.0417513931686,9.04220707405184e-13,6.23401206840174e-10
"426166","RASAL3",426166,-0.997291717202054,5.73866231268674,49.9105128186596,1.60920153657333e-12,1.0632128652268e-09
"427662","KCNJ12",427662,3.15383896580865,2.06696944294772,48.3613583699741,3.54485000166183e-12,2.24842745905407e-09
"416971","MLEC",416971,-0.571007462630872,6.78086248253237,48.1337237838294,3.98119972351275e-12,2.42807246214391e-09
"430115","PSMF1",430115,-0.855260103198003,6.06064052690811,47.8394576665094,4.62587808751275e-12,2.63272652056732e-09
"776930","ZBTB45",776930,2.96012777621627,1.40729967185857,47.8297581981169,4.64882024190484e-12,2.63272652056732e-09
"100858139","LOC100858139",100858139,1.77415493835131,2.96447004330648,47.7228098229654,4.90946187845588e-12,2.68445989678189e-09
"427800","UTS2R",427800,4.70581782189148,0.945834010691461,47.5717776234946,5.30264039416773e-12,2.80279895767725e-09
"428322","LOC428322",428322,-0.991098184285667,3.83118995389749,47.4355612831195,5.68420889935324e-12,2.90756453280788e-09
"107055878","LOC107055878",107055878,3.38139686972799,2.37094482433884,47.2572095107628,6.22565756301425e-12,3.08500787427241e-09
"417241","TLR4",417241,3.36777666120527,0.342398521034797,46.5554803494236,8.90608241299868e-12,4.27950754008849e-09
"420813","CTDP1",420813,0.645135330435988,4.93354820673017,46.4597903352268,9.35179317359027e-12,4.28344352751705e-09
"770750","PHPT1",770750,-1.25878029219116,4.25549406553233,46.4383809454987,9.45453260157009e-12,4.28344352751705e-09
"100858737","LOC100858737",100858737,-2.07988709829418,3.10927078102165,46.2901114662417,1.01977330458523e-11,4.49181813633557e-09
"417254","NELFB",417254,-0.571511833737509,5.91745958465191,46.2194893779142,1.05720103504782e-11,4.53082076020357e-09
