"GeneID","Entrez","logFC","logCPM","LR","PValue","FDR"
"107053414","LOC107053414",107053414,8.30753394941163,0.0079445743310513,51.5343751100517,7.03543928292626e-13,1.11560960709362e-08
"427552","DRD5",427552,2.97678665874768,-0.395903345082694,31.4066039721404,2.09267908375271e-08,0.000165918061155333
"421604","MPPED2",421604,-1.07924094904534,3.79400754959732,26.2958759529512,2.92913486194708e-07,0.00154824305019649
"107049353","LOC107049353",107049353,2.92044250122413,2.27288148686984,25.314664155726,4.86992301921706e-07,0.00193055923289312
"101749216","LOC101749216",101749216,-5.36091254666917,1.26998348106,24.643568503681,6.89745594974431e-07,0.00204223343889103
"107051395","LOC107051395",107051395,2.93273479946184,5.66141773230942,24.4246306421745,7.72743938534793e-07,0.00204223343889103
"768861","DNAH17",768861,-1.45930009537911,7.88780008301127,22.6787806396896,1.91470653469077e-06,0.0043373573600845
"421139","CA8",421139,-1.70072148920321,4.17065100097704,22.269646259071,2.3692225459728e-06,0.00469609523893635
"395599","SYNM",395599,0.995673980423119,5.52155360231026,21.4980680515272,3.54185311424237e-06,0.00624035164806014
