"GeneID","Entrez","logFC","logCPM","LR","PValue","FDR"
"421534","ACTA1",421534,5.55250001764257,3.50230476436232,129.791112155604,4.55251834620431e-30,7.21892834157618e-26
"425772","TRIM7.2",425772,-1.60043090247105,6.09462128583932,119.097670071877,9.96976633724472e-28,7.90452924048447e-24
"430115","PSMF1",430115,-1.2288779442743,6.06064052690811,115.641858016592,5.69369940290157e-27,3.00949971439368e-23
"100857736","EIF2B1",100857736,1.19420092635461,4.83771175573912,109.503456043805,1.25884851542313e-25,4.99039022726616e-22
"429422","C14ORF4",429422,-1.38251413707992,5.82783964448033,108.671473002592,1.91541714822298e-25,6.07455394387436e-22
"107049045","LOC107049045",107049045,1.94651177446858,4.86513449754248,102.140253744948,5.17266949102625e-24,1.17926150022811e-20
"769405","LEO1",769405,0.923330179879621,5.85792348184413,102.127607855283,5.20579586403278e-24,1.17926150022811e-20
"417582","NUFIP2",417582,-0.975680149327889,5.93039515671957,98.8160149035862,2.77084621639146e-23,5.49216355666493e-20
"100857158","PPP1R15B",100857158,-0.907116067845706,6.5415382204131,97.0789228398349,6.66182869638757e-23,1.14136909251764e-19
"422682","MYOZ2",422682,4.73238320882137,0.769010095509175,96.9256843377599,7.1978879518045e-23,1.14136909251764e-19
"420089","MLLT1",420089,-0.970880034347434,5.77625521939537,96.7046117226308,8.04815782673717e-23,1.16017853325974e-19
"417310","MYH1C",417310,5.82113184222498,4.32487324640442,96.3363720155877,9.69328162851665e-23,1.28088638986157e-19
"374207","HDAC4",374207,-0.830044797551706,6.33318202774854,92.975667715919,5.29412309418434e-22,6.45760845419085e-19
"423233","CAPN3",423233,-4.04616589268094,7.3036486949384,92.6341183241346,6.29134277761618e-22,7.12584445890427e-19
"107053634","ADO",107053634,-0.965202498650569,4.97889236217546,92.0883854011354,8.28904341726235e-22,8.76262409783527e-19
"416676","FAM40B",416676,4.97960212405093,3.426367726072,91.0413872244691,1.40698246333643e-21,1.39440755757036e-18
"427675","RPS15A",427675,2.7149092084239,7.9153224932094,89.0753838862039,3.80050747916116e-21,3.54497924100344e-18
"420166","TRIM55",420166,4.60089924828616,1.14827537885385,88.1283939910759,6.1340752616327e-21,5.26901267944968e-18
"107050824","LOC107050824",107050824,2.49706001455504,5.88896755681178,88.0714037611449,6.31337837608274e-21,5.26901267944968e-18
"100189558","ANGPTL3",100189558,-2.91631743400074,1.25957605542196,85.5355906448489,2.27568555937017e-20,1.80427729574664e-17
"426166","RASAL3",426166,-1.26923186696893,5.73866231268674,85.3925685386615,2.44638302717345e-20,1.84725217437568e-17
"107050646","LOC107050646",107050646,-3.05028137802408,1.18693834449594,82.6666089931632,9.71282376339691e-20,7.00073847346295e-17
"418163","BCL2L13",418163,-0.755934552730878,6.69827670593278,80.4157788086159,3.03363087367089e-19,2.09149064190432e-16
"419642","NFYC",419642,0.803467883278184,5.8073854178506,79.4743897973992,4.88516790638831e-19,3.22767114548331e-16
"771615","MRP63",771615,1.36566259373755,4.71348738922394,78.4668097164171,8.13536858232803e-19,5.16010158439902e-16
"419461","FBXO42",419461,-1.36207514215713,4.91189983142037,76.6166074008707,2.07586606033818e-18,1.26603877379933e-15
"771795","PRPF38A",771795,0.90415398699993,5.20235523357124,75.4757015968639,3.69931417038386e-18,2.17259351110284e-15
"423726","RPS24",423726,1.50655833175779,7.81502992104231,74.5639609732996,5.87051483902875e-18,3.32459835008853e-15
"423004","RMDN3",423004,-1.15499064167695,5.97766184066532,74.4849636150132,6.11018879399435e-18,3.34100909332305e-15
"419049","RPS11",419049,1.90788070977355,6.61149264077089,74.0162262700607,7.74775408522778e-18,4.0952045509819e-15
"417992","TOB2",417992,-1.06183126724398,6.43889608653679,73.6368694006119,9.38943745355278e-18,4.80284870003182e-15
"420109","GATAD2A",420109,-1.04029200130578,5.67021524922417,73.4111451177431,1.05270000781734e-17,5.21645750748737e-15
"107052268","LOC107052268",107052268,1.32078047914756,4.37843692237543,72.4770421122699,1.68986416247606e-17,8.12005334072207e-15
"423950","GPR26",423950,7.79168501591837,0.576042454001533,71.9026063070934,2.26085131983275e-17,1.05442115819376e-14
"772218","LOC772218",772218,4.20369982194003,1.74261789873282,71.6551332435249,2.56294459869635e-17,1.13129111155281e-14
"374069","MYH1B",374069,6.53305981295849,1.4077959306225,71.6509686043871,2.56835971595518e-17,1.13129111155281e-14
