"GeneID","Entrez","logFC","logCPM","LR","PValue","FDR"
"427821","GAS2L2",427821,5.41075855983682,3.21633104733771,98.376362789902,3.45964262705003e-23,5.48595531371324e-19
"100857736","EIF2B1",100857736,1.01168381692375,4.83771175573912,68.6490599491548,1.1764076984118e-16,9.32714843685797e-13
"417582","NUFIP2",417582,-0.887054665171745,5.93039515671957,66.4151810526272,3.65278044082482e-16,1.52987206262689e-12
"426166","RASAL3",426166,-1.24437228935308,5.73866231268674,66.3068400317317,3.85917150186514e-16,1.52987206262689e-12
"420166","TRIM55",420166,4.05251321245105,1.14827537885385,64.976088737504,7.58124445114842e-16,2.40431586523721e-12
"425772","TRIM7.2",425772,-1.30895887312032,6.09462128583932,64.5380459453935,9.46862566587241e-16,2.50239995306232e-12
"107049045","LOC107049045",107049045,1.56480044410119,4.86513449754248,61.4576605778367,4.52366859522798e-15,9.75768205797434e-12
"420109","GATAD2A",420109,-1.04710257067673,5.67021524922417,61.2911672236395,4.92283890167086e-15,9.75768205797434e-12
"429422","C14ORF4",429422,-1.12901931438263,5.82783964448033,59.4577824644977,1.24945996059952e-14,2.20140962169184e-11
"420089","MLLT1",420089,-0.837216795798806,5.77625521939537,58.508867782449,2.0237671716334e-14,3.20908760405908e-11
"425791","EHF",425791,6.29146257800816,1.83270558239281,57.9364733803558,2.7072072486501e-14,3.90256230380406e-11
"427675","RPS15A",427675,2.19222558012596,7.9153224932094,56.8220733972483,4.77081143343659e-14,6.304229741667e-11
"107052188","LOC107052188",107052188,4.34030314433672,2.93051240290451,56.1847404968452,6.5971565616172e-14,8.047008584428e-11
"423889","SMNDC1",423889,1.10839139660018,6.2021444320617,55.5799210978365,8.97355310849753e-14,1.01638308315318e-10
"428881","CHRM5",428881,5.33479120831868,-0.186382836359376,55.2441575760966,1.06450240949935e-13,1.0660240259089e-10
"422682","MYOZ2",422682,3.60757436783027,0.769010095509175,55.1688007068308,1.10610591301005e-13,1.0660240259089e-10
"423233","CAPN3",423233,-3.48996874797139,7.3036486949384,55.1045422568859,1.14286488241479e-13,1.0660240259089e-10
"100857158","PPP1R15B",100857158,-0.759437170762797,6.5415382204131,54.9842340700075,1.21500546158994e-13,1.07035231135731e-10
"418327","STXBP5L",415958,-3.96903693713235,14.7058899439661,54.4712422407612,1.57739356553052e-13,1.19177229859218e-10
"422445","MAML3",415958,-3.96903693716407,14.7058899439661,54.4711157630403,1.57749509087635e-13,1.19177229859218e-10
"415958","ATP2B2",415958,-3.96903693741779,14.7058899439661,54.4701042724629,1.57830726306589e-13,1.19177229859218e-10
"107050824","LOC107050824",107050824,1.97381308638509,5.88896755681178,53.3775671258541,2.75221821318877e-13,1.98372382756974e-10
"423004","RMDN3",423004,-1.07871342074972,5.97766184066532,52.9232631542109,3.46837260239567e-13,2.202839791274e-10
"422822","NCAPG",395850,5.09680934028579,1.20507608118209,52.9210019925613,3.47236770519775e-13,2.202839791274e-10
"395850","MMP27",395850,5.09680949552748,1.20507608118209,52.920657424407,3.47297690495365e-13,2.202839791274e-10
"374207","HDAC4",374207,-0.689541587941367,6.33318202774854,52.5487597997444,4.19697699390812e-13,2.55967169970773e-10
"424547","VTG1",424547,6.54996299773581,1.39140607684714,52.2307715313542,4.93467764689057e-13,2.89811790543495e-10
"424180","SCN3A",424180,1.22467734220997,7.76645760105555,52.1037659658846,5.2643869030602e-13,2.98133511149377e-10
"107052926","LOC107052926",107052926,1.77466115915438,6.68502716847225,51.88219719347,5.89323335175448e-13,3.22237935375071e-10
"419642","NFYC",419642,0.709526289716363,5.8073854178506,51.7097109751957,6.43437125831404e-13,3.40099416810286e-10
"422876","HGFAC",422876,4.99359574472226,0.232930911883572,50.8359012288928,1.0042001366116e-12,5.13664566653229e-10
"423950","GPR26",423950,6.2064939156274,0.576042454001533,50.7710116421434,1.03795434043245e-12,5.14338811757417e-10
"418163","BCL2L13",418163,-0.657840594113656,6.69827670593278,50.1009252717201,1.46038115307379e-12,6.88463878454188e-10
"419049","RPS11",419049,1.6229459207409,6.61149264077089,50.0798122321295,1.47617909235306e-12,6.88463878454188e-10
"422608","FAM175A",422608,1.1418173664639,4.86811304675004,49.9969350301035,1.53986320907826e-12,6.97646025895829e-10
"427800","UTS2R",427800,4.94019899523057,0.945834010691461,49.8506770722538,1.65903123544736e-12,7.30757175013576e-10
"107050646","LOC107050646",107050646,-2.6258026054005,1.18693834449594,49.4659745807713,2.01842261896311e-12,8.6503047213238e-10
