"rockdoveid","entrezid","genbankid","name","geneid","logFC","logCPM","F","PValue","FDR"
"5644","NODE_179643_length_221_cov_2.04819",395944,"XM_015281214.1","LOC395944",395944,3.95965725185185,-0.386765899162894,18.7261660810716,3.87106035832409e-05,0.0467384168197389
"4534","RockDoveHPG_Transcript_22286",373907,"NM_204118.2","annotated",373907,0.943803041851757,5.49550119561411,17.8954712465005,4.06138484704022e-05,0.0467384168197389
"4439","RockDoveHPG_Transcript_23068",107057325,"XM_015302367.1","LOC107057325",107057325,-3.65460750282162,5.33411340402781,17.7268514259008,4.46572286311243e-05,0.0481795675394043
"4653","RockDoveHPG_Transcript_12877",374052,"XM_015296641.1","F5",374052,1.4728446046879,5.05163438064719,16.627168444721,7.38930790891169e-05,0.0726928716808439
"11330","RockDoveHPG_Transcript_11282",421859,"XM_015284755.1","SENP6",421859,0.478467272566909,7.17915278591782,16.5719724534009,7.5800700397126e-05,0.0726928716808439
"5994","RockDoveHPG_Transcript_17565",396362,"NM_205397.1","annotated",396362,2.53270713933597,3.25221352080082,15.9470019887799,0.000102150894903706,0.0886082226297129
"10448","RockDoveHPG_Transcript_25425",420732,"XM_015281688.1","SFRP4",420732,3.31422334099401,3.20953079854556,15.9345637123448,0.000102662753597165,0.0886082226297129
"2649","NODE_252121_length_184_cov_2.23256",107052016,"XR_001464107.1","LOC107052016",107052016,2.94288380662364,-0.909701698185047,15.5844703071611,0.000121325533751224,0.0997295887435064
"9178","RockDoveHPG_Transcript_19004",419063,"XM_015280973.1","RAB6A",419063,0.901270016951373,7.27107013172261,15.4492570538886,0.000129439509870815,0.101562946335909
"14117","NODE_42007_length_478_cov_2.37116",426274,"NM_001007488.4","annotated",426274,-3.2934494014972,-1.34388697416391,15.2491850244028,0.000153382996070099,0.111845843145854
"15522","RockDoveHPG_Transcript_26989",428919,"XM_015287901.1","GPHB5",428919,2.64018706723611,1.27530723251728,15.0322054449611,0.000158127656528367,0.111845843145854
"4736","RockDoveHPG_Transcript_20204",374148,"NM_204281.1","annotated",374148,1.60657329566332,4.64161099924028,14.983519891933,0.000161982741203009,0.111845843145854
"10226","RockDoveHPG_Transcript_22339",420461,"XM_418563.5","ADARB2",420461,-1.01825908125302,5.35883178565987,14.635911440917,0.000191399505005875,0.127074548285055
"13349","RockDoveHPG_Transcript_1301",424474,"XM_015290750.1","AGL",424474,-0.811761723117731,6.00774711521797,14.5243054554893,0.000202001166111735,0.129146078867436
"15650","RockDoveHPG_Transcript_32509",429150,"XM_015291494.1","NMUR1",429150,2.43597494891342,0.812763312865976,14.3826705604614,0.000216323208279755,0.133363257904469
"13295","RockDoveHPG_Transcript_24528",424408,"XM_422251.5","DARS2",424408,1.15631389546667,4.84482399341708,14.1778775615708,0.000238886314520822,0.142195019353739
"12101","RockDoveHPG_Transcript_28875",422877,"XM_015285860.1","MSANTD1",422877,1.18524686073653,2.86499345077751,13.8819600532878,0.000275807787637536,0.158699801006638
"12714","RockDoveHPG_Transcript_15865",423667,"XM_015288132.1","SLC16A9",423667,1.26215929725136,5.21954327205132,13.5352540317673,0.000326565900827333,0.181844534841336
"12985","NODE_61454_length_371_cov_1.8481",424017,"XM_421874.5","RAB17",424017,-1.81773897547796,0.396736923459679,13.3354850428064,0.000368924656916283,0.193538148378369
"15350","NODE_181082_length_220_cov_1.95758",428626,"XM_015284549.1","SCML4",428626,-2.85724974652897,-1.01767239495148,13.3394932965027,0.000369989508543979,0.193538148378369
"12921","RockDoveHPG_Transcript_20130",423931,"XM_015288906.1","BAG3",423931,-1.03773798888442,5.91835745467918,12.9318719757182,0.000438808057979666,0.222785432260147
