"rockdoveid","entrezid","genbankid","name","geneid","logFC","logCPM","F","PValue","FDR"
"5127","RockDoveHPG_Transcript_7719",395335,"NM_204626.1","annotated",395335,-1.76478285539475,6.18907044422206,72.253908314648,1.83134520163324e-14,3.1612680870593e-10
"10659","RockDoveHPG_Transcript_10094",420996,"XM_015282405.1","NR4A3",420996,-2.8523569841943,6.54906000510671,68.7916378326071,6.08752288721857e-14,5.25414100395835e-10
"2902","RockDoveHPG_Transcript_49836",107052707,"XM_015282650.1","CEBPD",107052707,-2.56783082056396,4.84338598832354,61.7906973255954,7.11388335365519e-13,3.10038160928782e-09
"791","RockDoveHPG_Transcript_38261",100859853,"XM_015299957.1","LOC100859853",100859853,-2.53757439051834,3.47367772600593,61.763248230078,7.18429291921637e-13,3.10038160928782e-09
"10945","RockDoveHPG_Transcript_23597",421369,"XM_015283878.1","ATF3",421369,-3.08615183935653,3.70046225226365,60.3973102526085,1.17483447285883e-12,4.05599853409781e-09
"4952","RockDoveHPG_Transcript_38165",395128,"NM_001005848.2","annotated",395128,1.69213782952372,3.38210354408457,56.9570581497113,4.11631684220595e-12,1.18426435550265e-08
"11357","RockDoveHPG_Transcript_21066",421893,"XM_419909.5","KLHL31",421893,5.59489245419052,1.70630724643843,49.5137724406774,6.71565783701259e-11,1.65608122260731e-07
"4327","RockDoveHPG_Transcript_24190",107056818,"XM_015301806.1","LOC107056818",107056818,4.75224997188991,2.39815767383837,47.4196513249223,1.507605159939e-10,3.25303503385837e-07
"3887","RockDoveHPG_Transcript_22260",107055206,"XR_001470257.1","LOC107055206",107055206,-3.36753964897783,4.43415950303559,46.5893854214237,2.09630991394153e-10,4.02072241493986e-07
"1726","RockDoveHPG_Transcript_39457",101752154,"XM_015272993.1","LOC101752154",101752154,6.80795981557208,0.387821763385111,48.0128990849518,2.61377123612139e-10,4.51189190779274e-07
"4930","RockDoveHPG_Transcript_83683",395103,"NM_204452.1","annotated",395103,3.66894238264498,1.43431879899044,42.6118906625827,9.8780542077657e-10,1.54084432944104e-06
"16410","NODE_118708_length_263_cov_1.92788",769889,"XM_004937676.2","APOLD1",769889,-2.69556336101199,2.22123247582143,42.4081507441154,1.07114656200281e-09,1.54084432944104e-06
"2351","RockDoveHPG_Transcript_25324",107051186,"XM_015274842.1","mRNA",107051186,7.21608534967853,1.01899015835302,42.1661785754932,1.19866911319478e-09,1.59164817168987e-06
"1769","RockDoveHPG_Transcript_47607",102723171,"NR_110376.1","RN7SL1",102723171,6.9432799129753,2.95120498934316,39.1362411249411,4.09022903191522e-09,5.04325239635146e-06
"10691","RockDoveHPG_Transcript_4782",421035,"NM_001031011.1","annotated",421035,-0.813644712229467,6.02770890784651,38.8961174722148,4.39329609414743e-09,5.05580514514486e-06
