"rockdoveid","entrezid","genbankid","name","geneid","logFC","logCPM","F","PValue","FDR"
"5874","RockDoveHPG_Transcript_20092",396217,"XM_015282372.1","MBP",396217,-3.92077996611479,11.9510392712498,83.1088811994086,4.94904506714015e-16,4.3742365577919e-12
"5872","RockDoveHPG_Transcript_2604",396214,"XM_015278201.1","PLP1",396214,-10.6939924982731,10.5615270954902,83.6499928467198,5.06805301563191e-16,4.3742365577919e-12
"10659","RockDoveHPG_Transcript_10094",420996,"XM_015282405.1","NR4A3",420996,-3.4194410094107,6.54906000510671,81.1851580302319,9.39218610105696e-16,4.87379796181994e-12
"5623","RockDoveHPG_Transcript_14289",395921,"NM_205050.1","annotated",395921,-5.08778368964897,8.63382206612477,80.8292152079614,1.12937040014365e-15,4.87379796181994e-12
"9866","RockDoveHPG_Transcript_22653",419969,"XM_418091.5","GFAP",419969,-7.92959495816165,8.75268449396602,78.4614177569698,2.72339935543324e-15,9.40226393469773e-12
"15341","RockDoveHPG_Transcript_24050",428612,"NM_001031526.1","annotated",428612,-7.77674131642605,5.16062349318723,75.6622693675518,6.26553603609565e-15,1.80259471758472e-11
"10453","RockDoveHPG_Transcript_7349",420738,"XM_418836.5","ANLN",420738,-6.3295951668056,6.8917725279041,73.020545118554,1.63578750896235e-14,4.03385199710115e-11
"6546","RockDoveHPG_Transcript_32792",415650,"NM_001030561.1","PLLP",415650,-7.09568188329079,6.49172967952061,72.1002604187383,2.26353878486573e-14,4.88415081304403e-11
"7406","RockDoveHPG_Transcript_12095",416778,"NM_001030654.2","annotated",416778,-3.31873739358121,8.82752084175303,70.1788311749492,3.76297065812841e-14,7.05496464448108e-11
"8440","RockDoveHPG_Transcript_25172",418151,"XM_015286843.1","NINJ2",418151,-6.07727111958688,6.83186405803087,69.9364628221362,4.67214187307335e-14,7.05496464448108e-11
"6092","RockDoveHPG_Transcript_12341",396489,"NM_205493.1","annotated",396489,-4.03053107667489,8.98433322003504,69.5949852830069,4.73616022593939e-14,7.05496464448108e-11
"13997","RockDoveHPG_Transcript_22682",425975,"XM_015298420.1","HAPLN2",425975,-7.36798930954956,4.27560678756639,69.4937078014148,4.90438974242689e-14,7.05496464448108e-11
"12164","RockDoveHPG_Transcript_19499",422966,"XM_015286131.1","C5H11ORF9",422966,-5.58617000455069,5.6464644773055,68.7162387564261,6.61488064114119e-14,8.78354381749071e-11
"5763","RockDoveHPG_Transcript_52942",396089,"NM_205176.1","annotated",396089,-7.3111407638674,6.75013494262258,67.7391814256557,1.00381671259701e-13,1.23770600663211e-10
"6571","RockDoveHPG_Transcript_28458",415687,"XM_015279227.1","FA2H",415687,-5.36292610191594,4.43164364692947,66.1621641495996,1.54283037350308e-13,1.77548919382734e-10
"16369","RockDoveHPG_Transcript_4901",769726,"XM_001231916.4","LOC769726",769726,-6.93017558709445,8.97364680013323,66.2616152222974,1.67480353688017e-13,1.8069036658516e-10
"5127","RockDoveHPG_Transcript_7719",395335,"NM_204626.1","annotated",395335,-1.80730041484199,6.18907044422206,65.5372878611419,1.87806654199512e-13,1.90701086164234e-10
"12940","RockDoveHPG_Transcript_22470",423959,"XM_421818.5","unclassified transcription discrepancy",423959,-4.13003985113875,5.57308824203078,64.4444085469938,2.85648159993102e-13,2.73936585433385e-10
"8840","RockDoveHPG_Transcript_42101",418644,"XM_015299768.1","GRM3",418644,-3.80058094853672,6.72911686421575,63.1158321261921,4.58168975076941e-13,4.16258570935692e-10
"13322","RockDoveHPG_Transcript_17853",424441,"XM_422283.5","HEBP2",424441,-3.29728704146685,8.51407310216599,62.4238438933247,5.7706028506418e-13,4.98060732038894e-10
"13675","RockDoveHPG_Transcript_26575",424893,"NM_001011692.1","annotated",424893,-6.76323083457383,6.73244739123425,62.5188016319625,6.22969807646935e-13,5.1208118188578e-10
"16009","RockDoveHPG_Transcript_13841",693264,"XM_015293952.1","NPY6R",693264,-8.45785585487783,4.08491124606985,61.7801060875241,7.36777832979577e-13,5.78102679676976e-10
"10691","RockDoveHPG_Transcript_4782",421035,"NM_001031011.1","annotated",421035,-1.0964750876955,6.02770890784651,61.4744076791933,7.96945346542904e-13,5.98124807479287e-10
"10687","RockDoveHPG_Transcript_14143",421029,"NM_001100287.1","95535929",421029,-4.49618374573174,5.16837760410297,59.8292628382283,1.4875975329302e-12,1.06995452556004e-09
"7877","RockDoveHPG_Transcript_31638",417431,"NM_001277994.1","annotated",417431,-6.97823069037553,7.53127975377048,59.0730302298887,2.14168046165735e-12,1.47878752516517e-09
"9445","RockDoveHPG_Transcript_27681",419414,"NM_001292064.1","TMEM88B",419414,-5.69225197049484,4.55879227409071,58.5312981643195,2.38026185506137e-12,1.54771606963701e-09
"5255","RockDoveHPG_Transcript_15039",395483,"NM_204731.1","annotated",395483,-3.74366113655973,4.85518554619137,58.4247026237007,2.42082805469814e-12,1.54771606963701e-09
