"rockdoveid","entrezid","genbankid","name","geneid","logFC","logCPM","F","PValue","FDR"
"5429","RockDoveHPG_Transcript_18039",395689,"NM_204876.1","annotated",395689,1.37300434667988,9.7073756196034,25.1728868394809,1.47519231937197e-06,0.00219722043499675
"8586","RockDoveHPG_Transcript_10834",418328,"XM_416551.5","GTF2E1",418328,1.21840677380166,5.03174103909909,25.0944026329878,1.52743860618474e-06,0.00219722043499675
"8246","RockDoveHPG_Transcript_45037",417900,"XM_015283764.1","CRADD",417900,1.07993305459309,3.42425878928865,23.9134761388045,2.58475748735349e-06,0.00331244397585316
"16607","RockDoveHPG_Transcript_16435",770459,"XM_001233792.3","FBXW4",770459,0.977033929331654,5.57963071628836,23.8272053086585,2.6864914646011e-06,0.00331244397585316
"10860","RockDoveHPG_Transcript_11373",421264,"NM_001287175.1","APLF",421264,0.953392166950016,4.80197417929153,22.6621707101616,4.53558942211562e-06,0.00470254370020847
"4867","RockDoveHPG_Transcript_36080",378911,"XM_015291631.1","GHSR",378911,3.82080934893661,4.42788116265357,22.7073265013794,4.54592111076385e-06,0.00470254370020847
"8794","RockDoveHPG_Transcript_1952",418589,"XM_015302211.1","GK",418589,-2.26397105671791,7.74022514328734,22.6367501180315,4.63116921003036e-06,0.00470254370020847
"16832","RockDoveHPG_Transcript_23586",771273,"XM_001234564.4","MRPS36",771273,1.21576338697881,4.4838009571592,22.4224336071827,5.05452796740211e-06,0.00484729232073862
"10475","RockDoveHPG_Transcript_19967",420764,"XR_211619.2","C2H7ORF36",420764,0.857848518702946,4.72874661599262,21.8941074408469,6.4218475499751e-06,0.00583441749514053
"11300","RockDoveHPG_Transcript_12789",421822,"XM_015284616.1","ORC3",421822,1.14550735017922,4.77111979963555,21.6985588960913,7.01860766739657e-06,0.00605776027772998
"11286","RockDoveHPG_Transcript_31603",421804,"NM_001103201.1","UFL1",421804,1.22175800340191,6.32823430858268,21.3009827647527,8.41179971698035e-06,0.00691449936735785
