"rockdoveid","entrezid","genbankid","name","geneid","logFC","logCPM","F","PValue","FDR"
"664","RockDoveHPG_Transcript_45893",100859381,"XM_004936303.2","LOC100859381",100859381,4.93832141623669,6.73830900696858,35.8999148373663,1.52299824133577e-08,7.30277656720501e-06
"14946","NODE_283292_length_165_cov_3.16364",427900,"XM_015288730.1","CACNA1I",427900,2.1778665817905,3.54731936271395,35.7224053116296,1.61335283327312e-08,7.4042199711666e-06
"14392","RockDoveHPG_Transcript_3443",426942,"NM_001031408.1","annotated",426942,0.751899082087823,6.57009920924962,35.6976880113752,1.62994067260069e-08,7.4042199711666e-06
"6630","RockDoveHPG_Transcript_49136",415768,"NM_001199133.1","10092126",415768,-3.70819855326977,0.347434376234761,34.8718037271634,2.29612339292843e-08,1.0162995386854e-05
"6184","NODE_199997_length_211_cov_0.897436",404755,"NM_213577.2","annotated",404755,-5.06150982291174,-0.702915885317381,37.3099417118101,2.46329605124256e-08,1.06303541091373e-05
"11832","RockDoveHPG_Transcript_12322",422520,"XR_212218.2","GRID2",422520,1.37865060904837,4.66376949963646,34.6303975952414,2.53886287673755e-08,1.06892319459131e-05
"9113","NODE_13991_length_1154_cov_12.4167",418981,"NM_001278089.1","MMP10",418981,-2.01027242008128,2.77239875270705,34.5264480565263,3.08600389213428e-08,1.26834759966719e-05
"9209","RockDoveHPG_Transcript_39929",419106,"NM_001008444.1","annotated",419106,2.77032232934555,1.28010481237782,34.0263107452423,3.26692120988333e-08,1.31147892848851e-05
"12407","RockDoveHPG_Transcript_20345",423282,"XM_421201.5","FAM71BL",423282,3.56857230359912,6.34573870200669,33.8438297420792,3.56757886334602e-08,1.39962605316089e-05
"14934","RockDoveHPG_Transcript_18248",427879,"NM_001142255.1","annotated",427879,2.91748310755633,6.91766030717616,33.4915702509773,4.12193097924925e-08,1.58117272364001e-05
"10081","RockDoveHPG_Transcript_42898",420257,"XM_015282992.1","ODF1",420257,4.43707271513294,6.46734728355223,33.3227480169497,4.43745990604546e-08,1.66520506300341e-05
"13558","RockDoveHPG_Transcript_2590",424743,"NM_001252128.1","GIGYF2",424743,0.819560579996865,7.83950104462128,33.205365849655,4.60901716307233e-08,1.69278413338201e-05
"12212","RockDoveHPG_Transcript_17513",423029,"XM_015286364.1","BTBD10",423029,1.19599504509264,6.41704412369221,33.0102902447013,5.0030975892539e-08,1.78056554801675e-05
"4047","RockDoveHPG_Transcript_12510",107055760,"XR_001470681.1","LOC107055760",107055760,-1.58038239044544,5.10951017160999,32.9860860367921,5.05432231797132e-08,1.78056554801675e-05
"7055","RockDoveHPG_Transcript_13995",416332,"NM_001030622.1","annotated",416332,0.889468830138323,7.69888527003618,32.408632024481,6.44775545370953e-08,2.22602309283868e-05
"12084","RockDoveHPG_Transcript_52798",422850,"XM_420796.4","STK32B",422850,1.67631688537,5.01966896159832,32.3078385385375,6.72830855526544e-08,2.27733455452925e-05
"9132","RockDoveHPG_Transcript_44245",419009,"NM_001030832.1","annotated",419009,-0.828104536051388,6.7863741171418,32.1066152553851,7.326039895198e-08,2.43196347444054e-05
"8900","RockDoveHPG_Transcript_11646",418719,"NM_001285935.1","annotated",418719,-2.40992250648643,4.3034828171994,32.0238926240065,7.60614715523019e-08,2.47730777723743e-05
"4055","NODE_312791_length_107_cov_61.9423",107055800,"XM_015300901.1","LOC107055800",107055800,-1.89715734384243,4.74328586009119,31.727924785364,8.60123494935182e-08,2.70869749735446e-05
"5470","RockDoveHPG_Transcript_43056",395744,"NM_204914.2","annotated",395744,3.95422437911412,5.49340130444098,31.7257412907841,8.63042303061612e-08,2.70869749735446e-05
"9980","RockDoveHPG_Transcript_29880",420130,"XM_015300151.1","MAST3",420130,1.03431209037428,6.48743734505835,31.6409938255482,8.92447707572898e-08,2.75097005859346e-05
"5053","NODE_14083_length_1148_cov_4.71455",395245,"NM_204559.1","annotated",395245,-3.64677238412874,0.333286829586117,31.5462968659841,9.29065265571727e-08,2.81360080952617e-05
"13695","RockDoveHPG_Transcript_20082",424916,"NM_001277697.1","annotated",424916,-3.13264977969556,1.50995359257669,32.4692523455817,9.65306087261418e-08,2.87295063419079e-05
