"rockdoveid","entrezid","genbankid","name","geneid","logFC","logCPM","F","PValue","FDR"
"2245","NODE_74920_length_331_cov_1.30072",107050862,"XR_001462833.1","LOC107050862",107050862,-12.6002388149125,5.45255498359202,97.9878455626384,5.96285546977103e-18,1.02930811119187e-13
"7953","NODE_182224_length_219_cov_1.17073",417527,"XM_004946512.2","UNC45B",417527,-8.5509697821612,5.74094023923543,81.4201709466552,1.04438909341257e-15,9.01412226524389e-12
"2933","NODE_11939_length_1308_cov_5.31125",107052766,"XM_015282947.1","mRNA",107052766,-11.9927673932605,2.29112293868496,75.6526532078263,9.49027840845051e-15,4.50490122682196e-11
"14875","NODE_136775_length_246_cov_2.51309",427788,"NM_001013397.2","annotated",427788,-10.8418902879506,2.6937965839367,75.1221225279715,1.12844420676504e-14,4.50490122682196e-11
"15057","NODE_253464_length_184_cov_1.53488",428114,"NM_001031489.1","HBE1",428114,-12.2392989510314,2.8139220674431,81.4612781662683,1.38159098986702e-14,4.50490122682196e-11
"1473","NODE_284727_length_164_cov_1.41284",101750758,"XR_001465188.1","LOC101750758",101750758,-11.3142602796428,6.3906634411472,73.2070302534474,1.56583289079665e-14,4.50490122682196e-11
"8763","NODE_10669_length_1422_cov_55.7813",418546,"NM_001030797.2","annotated",418546,-6.71510990620845,2.07422146934759,71.4435432296584,2.42449746853326e-14,5.97881075740301e-11
"16069","NODE_151832_length_236_cov_2.36464",768566,"XM_001231408.4","MYH1F",768566,-9.54278919220041,1.12203059725876,69.92016905637,1.04426582051428e-13,2.25326457421469e-10
"12183","NODE_34709_length_551_cov_6.98992",422992,"NM_001199498.1","IFITM5",422992,-11.0977328890979,4.17639679101239,67.7704640867651,1.58100052891133e-13,3.03235901445194e-10
"878","NODE_130420_length_252_cov_2.49746",101747554,"XM_004950921.2","LOC101747554",101747554,-12.4315141485408,4.65503358196433,67.3206290396556,1.86033736416891e-13,3.21131435802838e-10
"2021","NODE_216472_length_203_cov_2.39865",107049940,"XM_015273736.1","LOC107049940",107049940,-12.1221918389101,5.78797472004587,68.1775831938954,2.32551425913217e-13,3.64936610373996e-10
"14203","NODE_113787_length_268_cov_2.06103",426493,"XM_015300211.1","SUPT5H",426493,-6.70157837775038,6.32565900099017,58.4120454064771,2.71907220592153e-12,3.91138536821812e-09
"1838","RockDoveHPG_Transcript_63196",107049137,"XM_004950242.2","mRNA",107049137,3.70796768839288,3.24324809367139,57.3400269734007,3.57616782884051e-12,4.74860069703422e-09
"14257","RockDoveHPG_Transcript_52201",426652,"XM_424279.5","ACTBL2",426652,-6.02459774731217,1.94379345549617,56.457948136047,4.97568490171752e-12,6.1350194838177e-09
"2205","RockDoveHPG_Transcript_30975",107050739,"XM_015274447.1","GPKOW",107050739,3.24189608003186,4.50013445947222,50.4732074809532,4.6756643089319e-11,5.38075448671883e-08
"8297","RockDoveHPG_Transcript_11528",417971,"NM_001030755.1","annotated",417971,1.87439580221495,6.45616870738905,48.3803430865282,1.03573951186874e-10,1.11743346586738e-07
"5208","NODE_176426_length_222_cov_1.1497",395430,"NM_204694.1","7179",395430,-8.37610611685131,-0.565101581796798,52.7036396371944,1.40741710976861e-10,1.4291078911074e-07
"8362","NODE_172483_length_224_cov_1.13609",418056,"NM_001167752.2","MB",418056,-13.2307610544924,3.93046077993557,55.404447290558,3.89426073562797e-10,3.73459604546722e-07
"11957","NODE_105260_length_278_cov_2.36771",422682,"XM_015276275.1","MYOZ2",422682,-5.68620700543779,1.34606600541266,40.8311635711926,2.02938042723152e-09,1.84374552288792e-06
"3698","NODE_295990_length_151_cov_2",107054704,"XM_015295076.1","LOC107054704",107054704,-6.39824479011844,-1.19759551587773,42.1334697800052,2.25639712817831e-09,1.9474963613307e-06
"8477","RockDoveHPG_Transcript_12611",418191,"NM_001277276.1","annotated",418191,2.51441227938227,6.2166715047658,39.6975819412089,3.21155689502328e-09,2.63989976770914e-06
"2110","NODE_24304_length_734_cov_4.39028",107050431,"XM_015274197.1","LOC107050431",107050431,-6.21199709959848,-1.22407226547432,41.864947711596,3.67114665213645e-09,2.88051515950815e-06
"17015","NODE_110289_length_272_cov_1.70046",771938,"XM_015287712.1","ESRRB",771938,-4.98855071691023,0.193093577131744,38.5950222170181,4.96510104507636e-09,3.72641627130905e-06
"1872","NODE_76774_length_327_cov_7.58456",107049263,"XM_015272615.1","mRNA",107049263,-6.61723753444278,-1.37332236135203,41.0226768211439,6.52720468263783e-09,4.69469196798726e-06
"2122","NODE_102383_length_282_cov_5.59912",107050491,"XM_015274226.1","LOC107050491",107050491,-6.68072446735774,-0.594232121732953,38.6225937267008,7.05934276700759e-09,4.8743349937634e-06
"3095","NODE_118438_length_263_cov_2.08654",107053153,"XM_015285001.1","TRIM54",107053153,-6.70563988880344,-1.15197222703509,38.2154557695262,9.96494565780281e-09,6.61595738249969e-06
"14925","NODE_15204_length_1081_cov_12.4308",427865,"XM_004937565.2","LRRC10",427865,-7.69047185820066,-0.376927243108395,41.070783421721,1.03717474548506e-08,6.63100387280118e-06
"5082","RockDoveHPG_Transcript_19453",395279,"XM_015296794.1","MYH7B",395279,-4.65734434264356,3.04405674756881,36.3044269711906,1.28098124588249e-08,7.89724938086558e-06
"4439","RockDoveHPG_Transcript_23068",107057325,"XM_015302367.1","LOC107057325",107057325,-5.4049597319491,5.33411340402781,35.0766796799537,2.21985700382357e-08,1.32135074482767e-05
"2317","NODE_28338_length_646_cov_8.54146",107051050,"XM_015274740.1","mRNA",107051050,-7.62250968249462,-1.08797423007937,37.4207636334807,3.7131189038863e-08,2.11909174654219e-05
"14093","NODE_163047_length_229_cov_1.10345",426202,"XM_423865.5","LRRC2",426202,-6.72872334052534,-1.01377039403945,36.1761803347516,3.93466070726484e-08,2.11909174654219e-05
"6048","NODE_12788_length_1240_cov_326.856",396433,"XM_015298699.1","TNNT2",396433,-13.7055668162191,4.18052827277902,42.3820296876794,4.04381327513597e-08,2.11909174654219e-05
"11907","NODE_141804_length_242_cov_1.64706",422618,"XM_420576.5","TECRL",422618,-4.41085626417252,0.43360750401106,33.5126421387721,4.05109649147794e-08,2.11909174654219e-05
"12421","NODE_106976_length_276_cov_1.57919",423298,"NM_001079481.1","annotated",423298,-6.79256018177378,2.16781490337874,33.2280196239215,4.65616752550655e-08,2.36396364192041e-05
"751","NODE_253274_length_184_cov_2.21705",100859737,"XM_015300317.1","LOC100859737",100859737,-5.10080515981634,-0.795790836031255,32.3656399435262,6.56593983235392e-08,3.23832152531696e-05
"12208","RockDoveHPG_Transcript_33999",423023,"XM_015286080.1","VPS37C",423023,2.84324199391201,1.81335899472212,32.2623687703049,6.85889667183948e-08,3.28884095414703e-05
"1398","NODE_7775_length_1754_cov_8.83402",101750377,"XR_001462628.1","LOC101750377",101750377,-8.85289794409137,-0.112300101441675,38.2921799535838,7.80302547898999e-08,3.6404277248196e-05
